input1	input2	input3	label
o	r	government	grveonment
h	d	children	cdilhren
n	i	during	durnig
s	a	usa	uas
e	t	return	rteurn
u	n	students	stndeuts
n	h	shopping	snoppihg
t	u	account	accotnu
e	m	times	tiems
e	i	sites	setis
t	a	digital	digiatl
r	l	profile	plofire
p	o	previous	orevipus
o	r	form	from
t	n	events	evetns
e	l	love	eovl
d	o	old	dlo
n	o	john	jnho
a	n	main	mnia
a	c	call	acll
u	r	hours	horus
e	a	image	imega
m	a	department	depmrtaent
e	l	title	titel
o	s	description	deocriptisn
e	a	insurance	insurenca
t	h	another	anohter
y	h	why	wyh
a	h	shall	sahll
e	y	property	propyrte
c	a	class	alcss
s	i	still	itsll
n	m	money	nomey
l	q	quality	luaqity
v	r	every	erevy
s	l	listing	silting
o	c	content	ocntent
n	r	country	courtny
t	r	private	ptivare
i	e	little	lettli
v	t	visit	tisiv
s	v	save	vase
t	l	tools	loots
w	l	low	wol
e	y	reply	ryple
u	o	customer	costumer
r	d	december	recembed
e	r	compare	compaer
m	o	movies	omvies
i	d	include	dncluie
o	g	college	cglleoe
a	u	value	vulae
c	a	article	crtiale
y	o	york	oyrk
a	m	man	amn
r	c	card	racd
o	j	jobs	ojbs
d	p	provide	drovipe
f	d	food	doof
o	r	source	sruoce
a	h	author	hutaor
r	i	different	drffeient
e	p	press	erpss
e	l	learn	elarn
l	a	sale	slae
d	n	around	aroudn
t	i	print	prtni
e	c	course	eoursc
o	j	job	ojb
n	c	canada	nacada
o	e	process	precoss
n	t	teen	neet
r	m	room	moor
c	k	stock	stokc
t	a	training	artining
e	c	credit	ercdit
i	t	point	potni
j	i	join	iojn
i	s	science	icsence
e	n	men	mne
o	t	categories	caoegtries
e	v	advanced	adeancvd
e	t	west	wtse
a	l	sales	slaes
l	k	look	kool
l	g	english	enlgish
e	t	left	ltfe
e	t	team	etam
s	a	estate	eatste
b	x	box	xob
d	s	conditions	consitiond
s	t	select	telecs
n	d	windows	widnows
s	h	photos	psotoh
g	y	gay	yag
r	d	thread	thdear
k	w	week	keew
g	t	category	cagetory
o	t	note	ntoe
e	v	live	liev
a	l	large	alrge
a	g	gallery	agllery
a	e	table	tebla
t	s	register	regitser
w	h	however	wohever
n	e	june	juen
t	c	october	otcober
r	o	november	nrvembeo
k	t	market	martek
l	b	library	bilrary
y	a	really	reylla
i	t	action	aciton
a	s	start	atsrt
r	i	series	seires
d	e	model	moedl
r	f	features	reatufes
r	i	air	ari
d	i	industry	dniustry
l	n	plan	pnal
n	m	human	hunam
p	o	provided	orpvided
y	e	yes	eys
i	q	required	reiuqred
c	n	second	senocd
t	h	hot	toh
a	o	accessories	occessaries
c	t	cost	tosc
i	v	movie	moive
u	r	forums	fourms
m	c	march	carmh
b	s	september	beptemser
b	r	better	retteb
y	s	say	yas
u	o	questions	qoestiuns
l	j	july	lujy
h	y	yahoo	hayoo
i	n	going	gonig
d	a	medical	meaicdl
e	s	test	tset
n	f	friend	nriefd
m	e	come	coem
c	e	dec	dce
v	s	server	verser
u	s	study	utsdy
l	o	application	appoicatiln
t	r	cart	catr
a	t	staff	satff
r	s	articles	asticler
a	n	san	sna
b	f	feedback	beedfack
g	i	again	aiagn
p	a	play	alpy
i	n	looking	looknig
e	u	issues	isseus
a	r	april	rpail
v	n	never	vener
r	u	users	rseus
o	m	complete	cmoplete
s	r	street	rtseet
o	p	topic	tpoic
t	c	comment	tommenc
c	f	financial	cinanfial
g	n	things	thigns
r	o	working	wroking
g	i	against	aiagnst
r	n	standard	stardand
t	x	tax	xat
s	r	person	pesron
b	e	below	eblow
o	b	mobile	mboile
e	l	less	elss
t	g	got	tog
b	o	blog	olbg
p	y	party	yartp
a	n	payment	pnymeat
t	u	equipment	eqtipmenu
o	i	login	ligon
s	d	student	dtusent
e	l	let	elt
a	p	programs	arogrpms
s	e	offers	offsre
g	a	legal	leagl
o	v	above	abvoe
t	c	recent	retenc
r	k	park	pakr
t	r	stores	srotes
e	s	side	eids
c	a	act	cat
b	m	problem	promleb
e	r	red	erd
e	i	give	gevi
r	y	memory	memoyr
f	m	performance	permorfance
s	a	social	aocisl
a	t	august	tugusa
o	t	quote	qutoe
l	n	language	nalguage
y	o	story	styro
e	s	sell	esll
n	s	options	optiosn
i	c	experience	expercenie
a	t	rates	rtaes
t	a	create	cretae
y	k	key	yek
d	b	body	doby
g	u	young	yognu
m	r	america	aremica
i	a	important	amportint
e	d	field	fidle
e	w	few	fwe
t	a	east	etsa
e	a	paper	pepar
s	i	single	isngle
a	e	age	ega
s	c	activities	astivitiec
l	b	club	cbul
m	a	example	exmaple
i	g	girls	igrls
l	t	additional	addilionat
w	a	password	pwssaord
s	l	latest	satelt
t	e	something	somtehing
o	a	road	raod
g	i	gift	igft
t	q	question	tuesqion
n	s	changes	chasgen
g	h	night	nihgt
r	d	hard	hadr
s	a	texas	texsa
t	o	oct	tco
y	a	pay	pya
u	f	four	uofr
o	k	poker	pkoer
u	a	status	stutas
w	r	browse	bworse
u	e	issue	isseu
a	n	range	rnage
n	g	building	buildign
r	s	seller	relles
c	r	court	rouct
a	b	february	fearubry
y	w	always	alyaws
r	s	result	serult
d	o	audio	auoid
t	l	light	tighl
e	t	write	wriet
w	r	war	raw
n	v	nov	von
o	e	offer	effor
l	b	blue	lbue
u	s	groups	grospu
y	a	easy	eysa
i	n	given	gnvei
e	i	files	felis
t	n	event	evetn
a	s	release	relesae
y	n	analysis	ayalnsis
q	t	request	retuesq
a	x	fax	fxa
a	n	china	chian
i	m	making	iakmng
c	e	picture	pieturc
n	s	needs	seedn
e	b	possible	possielb
i	m	might	imght
n	p	professional	nrofessiopal
y	t	yet	tey
t	m	month	tonmh
o	r	major	majro
a	t	star	satr
e	s	areas	arsae
f	e	future	euturf
c	p	space	scape
c	o	committee	ocmmittee
n	d	hand	hadn
s	u	sun	usn
c	s	cards	sardc
m	r	problems	pmoblers
l	d	london	donlon
i	a	washington	wishangton
i	g	meeting	meetgni
c	b	become	cebome
i	s	interest	sntereit
c	d	child	dhilc
p	k	keep	peek
r	n	enter	erten
c	r	california	ralifocnia
p	o	porn	oprn
e	h	share	searh
r	s	similar	rimilas
d	n	garden	garned
c	l	schools	slhoocs
m	o	million	oillimn
a	e	added	eddad
n	f	reference	renerefce
p	a	companies	comapnies
e	t	listed	lisetd
a	y	baby	byba
g	i	learning	learngni
y	n	energy	eyergn
n	u	run	rnu
v	l	delivery	devilery
t	e	net	nte
r	a	popular	populra
m	r	term	temr
l	m	film	fiml
e	o	stories	sterios
p	t	put	tup
c	p	computers	pomcuters
n	j	journal	nourjal
e	o	reports	roperts
r	y	try	tyr
m	c	welcome	welmoce
t	l	central	cenlrat
e	i	images	emagis
d	i	president	presdient
t	i	notice	noitce
g	d	god	dog
o	n	original	nrigioal
h	d	head	deah
i	o	radio	radoi
u	t	until	tnuil
c	e	cell	ecll
r	l	color	corol
l	e	self	slef
l	n	council	coulcin
y	w	away	ayaw
n	e	includes	iecludns
k	a	track	trkca
i	t	australia	ausiralta
o	u	discussion	discossiun
a	e	archive	erchiva
e	c	once	onec
h	t	others	ohters
a	i	entertainment	entertianment
a	g	agreement	gareement
o	a	format	farmot
l	a	least	aelst
t	i	society	socteiy
o	n	months	mnoths
g	l	log	gol
f	e	safety	saefty
d	f	friends	drienfs
s	r	sure	ruse
f	a	faq	afq
e	r	trade	teadr
o	t	edition	edioitn
r	s	cars	casr
g	m	messages	gessames
r	e	marketing	maekrting
e	t	tell	etll
e	f	further	eurthfr
e	a	updated	updetad
c	t	association	assotiacion
b	a	able	bale
a	v	having	hvaing
v	e	provides	proeidvs
a	i	david	divad
n	u	fun	fnu
e	l	already	aerlady
r	n	green	gneer
t	u	studies	sutdies
l	o	close	colse
c	n	common	nommoc
d	i	drive	irdve
e	s	specific	epscific
v	r	several	sereval
g	d	gold	dolg
e	f	feb	efb
n	l	living	nivilg
p	e	sep	spe
i	n	collection	collectnoi
d	e	called	callde
r	s	short	rhost
t	r	arts	atrs
o	t	lot	lto
k	s	ask	aks
i	y	display	dysplai
e	m	limited	lieitmd
w	d	powered	poderew
i	t	solutions	soluitons
a	n	means	menas
i	e	director	derictor
a	l	daily	dliay
a	c	beach	becah
p	s	past	sapt
n	u	natural	uatnral
w	r	whether	rhethew
u	d	due	ude
l	n	electronics	enectrolics
i	f	five	ifve
n	p	upon	unop
r	e	period	preiod
p	a	planning	alpnning
t	d	database	tadabase
y	a	says	syas
l	c	official	offiliac
t	h	weather	weahter
a	m	mar	amr
n	l	land	nald
r	v	average	arevage
n	e	done	doen
h	l	technical	teclnicah
o	n	window	wiodnw
c	r	france	fcanre
o	p	pro	orp
g	r	region	gerion
d	n	island	isladn
d	c	record	redorc
d	r	direct	ridect
f	t	microsoft	microsotf
f	o	conference	cfnoerence
i	o	environment	envorinment
e	s	records	rscorde
d	r	district	ristdict
r	d	calendar	calenrad
c	t	costs	toscs
l	t	style	slyte
u	r	url	rul
r	f	front	rfont
s	a	statement	atstement
t	u	update	tpdaue
p	a	parts	aprts
u	g	aug	agu
v	r	ever	erev
a	l	downloads	downaolds
e	l	early	larey
m	s	miles	silem
d	n	sound	soudn
c	o	resource	rescuroe
t	r	present	ptesenr
o	n	applications	applicatinos
h	t	either	eihter
o	g	ago	aog
n	d	document	nocumedt
o	d	word	wdro
w	s	works	sorkw
t	i	material	maiertal
b	i	bill	ibll
p	r	apr	arp
r	e	written	weittrn
l	a	talk	tlak
a	l	federal	federla
g	t	hosting	hosgint
u	s	rules	rsleu
n	f	final	nifal
t	d	adult	atuld
e	i	tickets	teckits
t	h	thing	hting
t	c	centre	tencre
i	n	requirements	requnremeits
a	i	via	vai
p	c	cheap	pheac
n	e	nude	eudn
k	d	kids	diks
i	a	finance	fanince
r	u	true	ture
i	n	minutes	mniutes
s	l	else	esle
a	m	mark	amrk
d	i	third	thdri
c	o	rock	rcok
f	i	gifts	gfits
u	p	europe	eproue
a	g	reading	regdina
s	c	topics	topisc
a	b	bad	abd
v	u	individual	indiuidval
t	s	tips	sipt
l	s	plus	psul
o	t	auto	auot
c	v	cover	vocer
a	s	usually	uauslly
d	e	edit	deit
r	h	together	togetreh
s	e	videos	vidsoe
c	r	percent	pecrent
s	a	fast	fsat
o	c	function	funoticn
f	t	fact	tacf
t	u	unit	tniu
n	i	getting	gettnig
g	a	global	alobgl
h	c	tech	tehc
t	m	meet	teem
a	f	far	afr
i	n	economic	ecoiomnc
r	y	player	plarey
e	t	projects	projtces
c	l	lyrics	cyrils
o	n	often	nfteo
u	i	subscribe	sibscrube
t	s	submit	tubmis
e	g	germany	egrmany
m	u	amount	auomnt
a	c	watch	wctah
e	c	included	ineludcd
l	f	feel	leef
u	g	though	thoguh
a	b	bank	abnk
i	r	risk	irsk
s	t	thanks	shankt
y	t	everything	evertyhing
d	s	deals	seald
r	i	various	vairous
r	o	words	wrods
x	n	linux	lixun
u	l	jul	jlu
i	r	production	pioductron
i	r	commercial	commeicral
m	j	james	majes
t	i	weight	wetghi
n	t	town	nowt
r	a	heart	herat
e	n	advertising	advnrtisieg
v	d	received	receidev
s	e	choose	chooes
n	m	treatment	treatnemt
r	s	newsletter	newrlettes
s	r	archives	aschiver
o	p	points	opints
o	d	knowledge	kndwleoge
i	z	magazine	magaizne
o	e	error	orrer
c	e	camera	eamcra
n	u	jun	jnu
i	l	girl	glri
t	u	currently	ctrrenuly
i	r	construction	constiuctron
s	t	toys	soyt
t	i	registered	regtsiered
r	a	clear	clera
l	o	golf	glof
c	i	receive	reiecve
a	i	domain	domian
h	e	methods	mhteods
c	p	chapter	phacter
m	s	makes	sakem
r	p	protection	rpotection
s	l	policies	posiciel
n	l	loan	noal
i	e	wide	wedi
b	y	beauty	yeautb
e	r	manager	managre
d	a	india	inaid
n	s	position	ponitios
n	k	taken	tanek
t	o	sort	stro
l	t	listings	tislings
o	m	models	omdels
c	l	michael	milhaec
k	w	known	wnokn
a	f	half	hfla
a	e	cases	cesas
s	t	step	tsep
l	f	florida	lforida
s	m	simple	misple
i	c	quick	qucik
o	e	none	neno
i	w	wireless	iwreless
s	c	license	lisence
u	p	paul	uapl
f	a	friday	aridfy
e	l	lake	eakl
w	l	whole	lhowe
u	l	annual	annlau
e	l	published	pubeishld
e	l	later	eatlr
i	a	basic	bisac
y	s	sony	yons
w	o	shows	shwos
t	c	corporate	torporace
l	e	google	googel
r	u	church	chruch
e	t	method	mtehod
h	r	purchase	puhcrase
r	o	customers	custrmeos
e	i	active	actevi
p	o	response	resopnse
i	r	practice	piactrce
d	e	hardware	hareward
u	i	figure	fugire
i	r	materials	mateirals
r	i	fire	frie
h	y	holiday	yolidah
c	t	chat	thac
h	n	enough	ehougn
i	s	designed	deisgned
l	o	along	aolng
a	m	among	maong
t	d	death	teadh
n	t	writing	wrinitg
p	s	speed	pseed
t	l	html	hlmt
t	e	countries	counerits
l	o	loss	olss
c	f	face	cafe
a	r	brand	barnd
d	t	discount	tiscound
i	r	higher	hrghei
s	t	effects	effecst
c	t	created	treaced
n	t	standards	snatdards
l	o	oil	lio
b	t	bit	tib
y	w	yellow	welloy
o	c	political	pclitioal
n	a	increase	iacrense
v	r	advertise	adrevtise
k	g	kingdom	ginkdom
b	a	base	abse
r	n	near	rean
i	l	environmental	envlronmentai
g	o	thought	thguoht
u	s	stuff	utsff
f	c	french	crenfh
o	a	storage	staroge
n	j	japan	napaj
n	d	doing	noidg
o	s	loans	lsano
e	h	shoes	seohs
r	e	entry	rntey
y	a	stay	stya
n	r	nature	ratune
s	o	orders	srdero
b	v	availability	abailavility
f	r	africa	arfica
r	a	summary	summray
r	t	turn	rutn
m	a	mean	aemn
r	o	growth	gorwth
e	t	notes	noets
a	g	agency	gaency
n	k	king	nikg
m	d	monday	donmay
o	r	european	euorpean
c	a	activity	cativity
y	o	copy	cypo
u	l	although	autholgh
r	d	drug	rdug
s	i	pics	psci
r	t	western	wesretn
n	e	income	iecomn
o	e	force	ferco
s	h	cash	cahs
y	t	employment	emplotmeny
e	r	overall	ovreall
b	a	bay	aby
i	v	river	rvier
c	n	commission	nommissioc
k	e	package	paceagk
e	c	contents	eontcnts
s	n	seen	nees
y	p	players	ylapers
g	i	engine	enigne
o	r	port	prot
m	l	album	ambul
i	a	regional	regaonil
o	p	stop	stpo
e	u	supplies	sepplius
s	d	started	dtartes
m	r	administration	adrinistmation
r	b	bar	rab
s	e	institute	inetituts
s	v	views	siewv
p	l	plans	lpans
b	u	double	dobule
o	d	dog	odg
i	d	build	budli
s	r	screen	rcseen
h	n	exchange	excnahge
y	p	types	tpyes
s	n	soon	noos
n	p	sponsored	snopsored
l	i	lines	ilnes
i	o	electronic	electrinoc
e	t	continue	coneinut
a	o	across	ocrass
t	s	benefits	benefist
a	e	season	saeson
a	y	apply	yppla
n	s	someone	nomeose
d	l	held	hedl
y	h	anything	anhtying
e	i	printer	prentir
c	d	condition	doncition
i	c	effective	effeitcve
v	i	believe	belveie
z	t	organization	organitazion
c	t	effect	effetc
e	s	asked	aeksd
r	e	eur	rue
n	d	mind	midn
u	a	sunday	sanduy
c	o	selection	seleoticn
s	c	casino	sacino
f	d	pdf	pfd
o	l	lost	olst
r	o	tour	truo
n	u	menu	meun
e	v	volume	eolumv
