input1	input2	label
z	dtkwmlrb	No
n	xnglb	Yes
n	nqlx	Yes
v	lrpsvkn	Yes
i	xmcsdp	No
u	qtwdn	No
z	stdwh	No
c	fbndp	No
b	qjbdvlck	Yes
o	nlwkds	No
k	nzxbk	Yes
p	qvgmxlh	No
p	ntrcdlqfg	No
s	gjkfsp	Yes
w	cfdwvrx	Yes
y	bnzvjft	No
j	czsvhxfg	No
m	tmz	Yes
r	hzkxbt	No
i	lpvqs	No
g	nlcqpz	No
f	svcr	No
r	hrt	Yes
l	rctg	No
t	mwrtx	Yes
u	xskmfpd	No
e	tbphxvqsr	No
u	vfsmj	No
r	lrncfbj	Yes
j	mld	No
f	zdmphqrf	Yes
s	stxldr	Yes
r	vpfkr	Yes
h	fqhrj	Yes
q	xngwvz	No
l	mkgd	No
d	pgwtnq	No
f	nfsh	Yes
p	spf	Yes
f	rxmjdsn	No
w	tdg	No
b	cfbn	Yes
k	vwbcmz	No
f	pvjgxrlndts	No
q	qpljgh	Yes
t	qcpvzr	No
x	hrtfq	No
e	sfhrtpnx	No
v	bprhl	No
d	xnpd	Yes
t	sfzxwtg	Yes
n	gqxmjsbkln	Yes
c	cdpkf	Yes
p	lnctph	Yes
z	zrh	Yes
p	qmpc	Yes
s	stxrz	Yes
w	lbjptfm	No
j	zmtvnhgcd	No
b	ktxvs	No
k	dxc	No
x	rvls	No
m	bldrm	Yes
x	thcnrb	No
x	hxz	Yes
l	frwcqnxvks	No
g	vdgm	Yes
i	pbltsxh	No
r	fjhrq	Yes
e	bfltphxcvk	No
k	mklchwfz	Yes
d	vxlqdj	Yes
p	vptrmldfq	Yes
u	spwj	No
t	bjpx	No
x	pfhvcxqs	Yes
e	hwgdbfp	No
h	tskmh	Yes
q	dlbq	Yes
o	zrhbx	No
b	vbj	Yes
x	ldx	Yes
g	wmbj	No
a	hxlbt	No
i	pfkgjd	No
p	jptrxh	Yes
x	jpmht	No
l	cxqsj	No
n	znxlgpfr	Yes
w	dkjfgm	No
m	gzvmc	Yes
c	btmcxspf	Yes
n	cjfprt	No
n	jgsptn	Yes
l	snkhj	No
h	khptg	Yes
w	plmsx	No
k	bwj	No
j	msp	No
q	mfqkx	Yes
q	hdxn	No
l	wzgvnl	Yes
a	tmcr	No
k	cvrln	No
u	hncdj	No
c	rzxvm	No
r	hmqdbfn	No
g	fkgwxtrj	Yes
k	hknfgpl	Yes
t	dxt	Yes
b	btcmz	Yes
y	wmnfdc	No
t	vpjlsnk	No
s	ztsvr	Yes
q	mrstwgbx	No
k	kdzlp	Yes
w	zwhlbsqjxnpv	Yes
w	jwh	Yes
t	kgvzq	No
m	hbvrs	No
d	xrbd	Yes
v	zjvkd	Yes
y	nshktd	No
j	fjgcp	Yes
p	cmjvqgtrp	Yes
o	tfpc	No
f	hlf	Yes
u	zdgls	No
h	tzsfwgrj	No
d	vqtbmz	No
k	mwpbfnckgj	Yes
w	gsfhzmk	No
n	nht	Yes
f	dhmtvn	No
t	skdgxwfq	No
n	xwjsk	No
i	jltx	No
d	jwfht	No
m	tvkbrqhzxn	No
x	nbrx	Yes
t	gmjlr	No
d	djtbfgc	Yes
l	xrmljc	Yes
i	jbsqhld	No
t	ztsdgbk	Yes
b	fbltj	Yes
x	wgbtclkmh	No
a	qxrszbntc	No
d	glbjmv	No
b	xbjd	Yes
r	cdwxqpbf	No
a	zbgdkl	No
j	vzk	No
m	qpkscmdf	Yes
f	fmt	Yes
n	xksrwgv	No
e	kmtc	No
c	trvk	No
w	kcqpfvh	No
e	zgb	No
c	brqmjpchk	Yes
r	bglnfhp	No
p	jhxwtds	No
s	gcs	Yes
t	tnkfgch	Yes
t	cspkbqd	No
g	bglcsk	Yes
d	lznkwhfdv	Yes
r	qkhcwg	No
g	dgr	Yes
g	xnrjqmsc	No
x	hsxc	Yes
p	cxkpz	Yes
h	cshwx	Yes
x	zkmq	No
w	dwfsm	Yes
d	tqnd	Yes
s	qdvskrn	Yes
l	bclk	Yes
t	tflmzhsn	Yes
l	wlcjv	Yes
d	pqmzdxjfk	Yes
k	gxplqmnrbs	No
c	pfmktcs	Yes
w	zpjm	No
c	mjdtfz	No
h	ghvmldwxfqktb	Yes
z	nwzgqdmrh	Yes
t	xhmrfw	No
g	nprxz	No
e	qslxckh	No
h	gksbhd	Yes
t	ght	Yes
y	jqbwdf	No
e	hrtbljp	No
z	tjzk	Yes
w	fmw	Yes
q	zdqsm	Yes
q	mcwgfnh	No
u	pjfw	No
w	gclrvmfw	Yes
l	qndspfbrk	No
g	nzcj	No
n	znrqtld	Yes
t	vhwfgxq	No
w	fqshlxkrmjc	No
v	mgqx	No
r	qrgskp	Yes
q	nrmxwlsz	No
b	blzpd	Yes
n	qdt	No
j	jsnbvfw	Yes
m	tqcfh	No
v	vscpgdb	Yes
k	shfbl	No
w	xjdblw	Yes
j	brfgs	No
t	qrnxptjs	Yes
s	wltsgkh	Yes
b	svxm	No
e	nks	No
q	jfxwqk	Yes
d	dwj	Yes
x	bzksrlwhcq	No
z	cvrmfz	Yes
c	qpwsk	No
t	fbdv	No
j	mzq	No
e	mrc	No
j	qwjkdcr	Yes
f	zrwtpsf	Yes
r	grfqcsz	Yes
z	phwdsbnxk	No
x	cjphw	No
t	bjqwdkvt	Yes
g	qgslk	Yes
n	tpjlf	No
m	pfgj	No
w	psxwrmb	Yes
v	ldqbchn	No
n	zph	No
i	vrkgjlnxtfm	No
q	mbvq	Yes
v	pnwl	No
k	cbfrvq	No
j	xvtrpkgw	No
f	xshwqrlf	Yes
i	vnhr	No
p	dvhpqgxr	Yes
e	kvspctw	No
o	xbw	No
f	nsxb	No
j	hqjwfmp	Yes
b	lnpm	No
f	xnjvbcfgq	Yes
x	gwbjrd	No
t	vjzwgq	No
n	bns	Yes
k	cvktpq	Yes
e	fhdgxv	No
w	mhqwsn	Yes
k	klmxjp	Yes
l	sztgbnrqm	No
w	vhsrjlnpmc	No
i	cwmkfrldxbj	No
b	ksbcnxm	Yes
p	wvxdgqsj	No
x	ljkprhnm	No
z	mrpkt	No
w	dbqmt	No
n	kgc	No
p	lwhpf	Yes
w	pxdjtlqwn	Yes
f	dwjkcv	No
e	qthwz	No
d	rcd	Yes
k	wktm	Yes
e	ktpmhxnbj	No
g	brnvg	Yes
c	pdkwb	No
l	btjkx	No
b	qwcrnstd	No
d	kbvrndz	Yes
c	jmlzqvnghkcp	Yes
z	jzpxfg	Yes
f	pbf	Yes
q	ndlsrxhq	Yes
c	zjrn	No
a	qgjwt	No
t	gzbptrmk	Yes
x	wdxq	Yes
g	lpv	No
u	cqwnmdp	No
s	lkqs	Yes
s	rkpvtbw	No
z	zqgdtjb	Yes
h	hvpdz	Yes
q	gzqth	Yes
b	fnbcz	Yes
u	hrspctq	No
s	cxtlh	No
f	nqxrpc	No
n	njtdwfbxglkz	Yes
r	whz	No
d	rmkdq	Yes
w	wkbz	Yes
o	fqgj	No
d	wpdzmsf	Yes
t	jstw	Yes
s	cfbqsgd	Yes
p	xgpn	Yes
s	skpt	Yes
d	lpzwd	Yes
d	hvmd	Yes
i	jkvrh	No
f	lsgkmr	No
z	kmwcnhq	No
l	kswcfl	Yes
v	vsj	Yes
b	fklzmdrwsh	No
t	pwqb	No
z	qzwg	Yes
t	tqwh	Yes
u	rxhfn	No
b	btkrcsn	Yes
r	rxnh	Yes
o	zvgfxwbj	No
y	qkgmdl	No
c	zfvrhbx	No
m	whmk	Yes
z	hxtngpqz	Yes
g	tzrp	No
w	zdtq	No
j	pxnjdbg	Yes
x	mxfpdt	Yes
v	pfbx	No
q	mqtf	Yes
j	jmz	Yes
t	mdwvfbnc	No
z	hzgtsl	Yes
a	nxtpgvkh	No
h	ljxbhz	Yes
j	jcphv	Yes
z	zrlqnmckt	Yes
z	nqtbjz	Yes
h	dnrpwsb	No
s	jgtfsl	Yes
p	kpgzt	Yes
q	mjvgkhnz	No
q	pxrw	No
d	zvfxml	No
m	xvsq	No
r	cmgp	No
j	jmcnsk	Yes
l	mpfgwvndqh	No
t	kqwxb	No
n	zcdlkns	Yes
d	pkgnj	No
v	rjwtp	No
t	btn	Yes
o	dlhxgtbnjm	No
k	zhdbkctjfw	Yes
u	jcvds	No
b	vdgjtx	No
h	wnlh	Yes
k	kdtxq	Yes
b	jbsphvnzkfc	Yes
m	jxrcgqhk	No
h	lfvznm	No
m	jkhsgzcxf	No
q	lnmvqwtfzk	Yes
z	kfrwqmls	No
q	mpnhdq	Yes
p	vgwqtsjfz	No
j	rjhnkwgv	Yes
z	rzgwf	Yes
w	mltqkv	No
c	cqx	Yes
c	krzm	No
d	dchjpszqm	Yes
m	mwntxcsjbdfz	Yes
t	tghp	Yes
t	shldvtbqzn	Yes
x	bwchx	Yes
j	njdh	Yes
u	mpgcfns	No
i	rhptwv	No
k	xfgqlcm	No
d	rcqldpk	Yes
d	jsfdn	Yes
y	dxbwsrvjfc	No
h	hlmzqkxf	Yes
o	xrlt	No
d	czmh	No
d	mchgtl	No
k	tvknbjz	Yes
p	sdcgx	No
p	fgzjpswx	Yes
m	ndprl	No
n	mfrq	No
i	vmcgnsdb	No
c	fncbgv	Yes
q	jtknhlx	No
z	vhldn	No
m	kqmw	Yes
k	wzkgb	Yes
n	mhql	No
t	njgstplxbzd	Yes
c	zcjhsrl	Yes
l	ftwpdv	No
x	cvslt	No
e	qtpb	No
f	tvcgwfnh	Yes
f	rwcfljh	Yes
w	rqwt	Yes
y	bslcgm	No
c	fxcj	Yes
g	zbgmv	Yes
v	gcptqs	No
b	kzvtljsxb	Yes
f	hdjxm	No
q	hxrqp	Yes
h	mqxn	No
e	fxbmw	No
w	ptjvslfcx	No
i	lbhwqf	No
j	hjbncz	Yes
r	sgmfzr	Yes
i	hqdrnwkf	No
h	pbdkxclmz	No
j	wtpchj	Yes
v	tjcvmzkb	Yes
m	lhbrmnzk	Yes
x	xbrshwnq	Yes
g	tmxzcg	Yes
h	djhpmcrgl	Yes
s	dwqr	No
p	gwqmzpf	Yes
z	kzgb	Yes
w	qkpwtf	Yes
s	nqhslwcp	Yes
o	bvxjt	No
h	rqplj	No
m	lrdsm	Yes
s	xwzlsvt	Yes
n	qhdbn	Yes
l	hpbf	No
w	qklzwdmxb	Yes
x	dfqm	No
l	gtzk	No
k	tdvsz	No
k	hcqlgdjm	No
s	chdsjb	Yes
g	tmrjsvg	Yes
r	tvmsngc	No
z	zwxvmfpc	Yes
c	fxnqgzcdr	Yes
f	pmh	No
t	trm	Yes
j	gxrpkl	No
i	cbkrhtlnd	No
y	bzhxdgrj	No
w	vjrqgcdhn	No
y	kqwhngr	No
m	hvmw	Yes
r	qrvz	Yes
p	cqwtxrknvmgpz	Yes
m	xrmctlb	Yes
z	hsxpl	No
u	bslmhx	No
f	hvrgdfb	Yes
b	btqch	Yes
p	mhrzc	No
f	ksqwh	No
x	gxrhc	Yes
h	xcshw	Yes
o	mbpv	No
h	jsnqmv	No
b	gtxjfb	Yes
x	jnvhpsxktzwm	Yes
c	lpjfqh	No
h	qfzvxhd	Yes
t	dxqk	No
z	qhpl	No
o	qfgrvb	No
h	jtzwn	No
q	fvjzhq	Yes
p	gvmp	Yes
f	qsvfjb	Yes
k	gvqckjml	Yes
e	zvfgrndw	No
h	cmhn	Yes
q	pqrclbsn	Yes
z	wzkb	Yes
n	fmgx	No
n	pvqdckm	No
l	hkxsdz	No
x	gdpqc	No
k	pxjt	No
d	djhpnvtbkr	Yes
z	rqgfclv	No
c	dcb	Yes
b	cjplw	No
r	lfwmsgbdxr	Yes
j	dkrtjnm	Yes
n	qspmtfxl	No
j	lwpg	No
m	ndbrpwm	Yes
u	dfxvnl	No
x	xbjv	Yes
x	dmvpl	No
q	jfnztwdr	No
n	bsjw	No
v	bnkxglwv	Yes
r	rdcpsqv	Yes
v	gcvsrdxtbwmqhk	Yes
c	xzj	No
o	kzmlsxprq	No
f	pfhnd	Yes
q	skxnh	No
k	bcwsxr	No
l	dsb	No
f	zktfw	Yes
x	gsbfxn	Yes
r	skglzqdp	No
j	qlhgm	No
r	trcn	Yes
p	pxmstfbzr	Yes
m	knmgl	Yes
m	jbkstrzfhq	No
g	rnhclbmq	No
v	vhdtcp	Yes
m	pmxdfswj	Yes
t	pfdsvm	No
v	vzkbht	Yes
r	bwrfk	Yes
c	ckfwxgj	Yes
s	knqs	Yes
l	jvdknqph	No
c	pjklsxn	No
s	tcmkvzxpj	No
s	lfhskrvwb	Yes
f	nvtgslf	Yes
