input1	input2	input3	label
r	c	cmrfgqp	rmcfgqp
b	n	wmnb	wmbn
h	z	zhwlk	hzwlk
d	s	shd	dhs
l	v	svljzh	slvjzh
l	c	csldn	lscdn
f	b	zxfqb	zxbqf
w	v	dvjw	dwjv
w	s	wsmgbqv	swmgbqv
t	f	fvtd	tvfd
w	d	wkjmd	dkjmw
n	v	nbvrzpm	vbnrzpm
m	l	zflm	zfml
z	w	pzrxw	pwrxz
k	q	qkj	kqj
g	q	rgkq	rqkg
q	l	tmlq	tmql
z	g	gczq	zcgq
x	r	rgqx	xgqr
x	f	frxs	xrfs
z	t	zjt	tjz
j	l	xjplb	xlpjb
p	v	cpwnhvk	cvwnhpk
l	p	zpsfbtgl	zlsfbtgp
q	p	rgjhqtkzpd	rgjhptkzqd
l	z	hkzpldg	hklpzdg
s	q	dqcs	dscq
r	t	rwtp	twrp
d	b	kdb	kbd
v	g	hgvdnlk	hvgdnlk
d	m	fmqlpvd	fdqlpvm
j	t	zktj	zkjt
f	q	fvsq	qvsf
x	p	pnkhx	xnkhp
q	w	wqs	qws
b	t	tnpb	bnpt
j	x	kwmgxfnbjd	kwmgjfnbxd
r	f	nvfr	nvrf
k	g	kbhgw	gbhkw
c	v	nbcvp	nbvcp
k	w	tqpkhw	tqpwhk
g	r	rwgpx	gwrpx
h	q	tkqh	tkhq
x	b	kxbc	kbxc
s	t	dbtmjhpflwsgc	dbsmjhpflwtgc
d	g	bwgkdn	bwdkgn
m	j	bjmp	bmjp
k	m	dqkm	dqmk
s	n	gnrsh	gsrnh
p	f	fzkrtp	pzkrtf
k	c	xkzjblnc	xczjblnk
f	s	szfm	fzsm
w	t	tsldnqgcfwr	wsldnqgcftr
c	b	kxfbcn	kxfcbn
h	d	dnh	hnd
q	r	rgqbpd	qgrbpd
w	d	xmqhlwd	xmqhldw
l	k	klcv	lkcv
p	f	pkfnq	fkpnq
q	n	qfnwhl	nfqwhl
g	l	xhmgnl	xhmlng
f	j	lfj	ljf
c	g	cbpg	gbpc
s	g	sqfgh	gqfsh
l	m	mhpl	lhpm
z	m	szfmtrx	smfztrx
x	h	xjhlp	hjxlp
d	v	vdrsp	dvrsp
k	q	vqpkt	vkpqt
d	h	pchdjrq	pcdhjrq
t	h	htrldk	thrldk
l	b	fbwsdlkzq	flwsdbkzq
r	f	lrvjktxf	lfvjktxr
s	k	kps	spk
b	n	xlhnbk	xlhbnk
p	v	vlpr	plvr
m	k	hqmwfk	hqkwfm
p	l	tjqfmnlp	tjqfmnpl
n	p	pkxnhvs	nkxphvs
p	r	ptzrjlcxg	rtzpjlcxg
g	n	gktfnr	nktfgr
x	f	kfpmgx	kxpmgf
f	q	gqfn	gfqn
z	g	dgpz	dzpg
j	c	mcjnl	mjcnl
r	g	grv	rgv
v	p	zxnfjvpm	zxnfjpvm
b	w	lbgmrjkw	lwgmrjkb
p	h	bhpnvfd	bphnvfd
d	f	nkdfjsh	nkfdjsh
t	s	fstjp	ftsjp
g	s	tgwmvs	tswmvg
r	h	rxmh	hxmr
w	g	tgpwn	twpgn
h	d	dhfb	hdfb
j	r	crqj	cjqr
d	t	tkdn	dktn
j	d	ldjqt	ljdqt
t	m	tzkmq	mzktq
p	w	fwpvdnx	fpwvdnx
n	r	pmfqnr	pmfqrn
j	g	wznrjgb	wznrgjb
d	q	dvqjk	qvdjk
v	m	cmvbt	cvmbt
h	x	hkvrx	xkvrh
r	x	srbx	sxbr
f	j	jflm	fjlm
d	m	tmdc	tdmc
b	q	nbkq	nqkb
n	h	sghn	sgnh
z	n	gnpzs	gzpns
m	j	fvbmxjpczq	fvbjxmpczq
t	w	jrtwq	jrwtq
x	n	lxnd	lnxd
x	w	xzvwqtn	wzvxqtn
j	h	hqjc	jqhc
n	g	njxvg	gjxvn
x	q	kzgxwqv	kzgqwxv
p	w	rmplgqw	rmwlgqp
q	n	rnq	rqn
n	w	cxrwn	cxrnw
n	f	vnrmxf	vfrmxn
n	f	rdbfn	rdbnf
v	w	xwvsqtj	xvwsqtj
b	c	pxzvncjb	pxzvnbjc
z	n	fznm	fnzm
p	k	pmklxt	kmplxt
r	g	dhgflqvr	dhrflqvg
k	z	vtrkz	vtrzk
j	n	njkq	jnkq
c	s	fclsgdk	fslcgdk
l	z	dljtz	dzjtl
n	x	nxkdc	xnkdc
r	k	fbkr	fbrk
q	l	sqmlbhr	slmqbhr
k	n	kqgn	nqgk
d	m	pcdmvbhr	pcmdvbhr
m	f	msxtgbf	fsxtgbm
p	n	bnlmp	bplmn
z	x	zrxdk	xrzdk
j	n	jnszd	njszd
x	q	xfq	qfx
w	x	wrxqlvmbp	xrwqlvmbp
g	n	qphgtnzc	qphntgzc
t	n	ctn	cnt
c	t	mcptdlj	mtpcdlj
g	c	xgc	xcg
x	z	hzxpck	hxzpck
s	z	qzsgv	qszgv
p	c	wpxct	wcxpt
p	v	snfpjhlvx	snfvjhlpx
j	k	sjcrhkg	skcrhjg
g	c	dgfck	dcfgk
n	j	wnj	wjn
d	l	lxkcd	dxkcl
w	l	wlk	lwk
h	f	gmrqsfh	gmrqshf
j	p	bznjp	bznpj
h	b	lhqpxgb	lbqpxgh
p	k	pnkvdwfl	knpvdwfl
d	z	vdzh	vzdh
n	r	nvr	rvn
p	h	fcjhpbsk	fcjphbsk
q	r	kbpqr	kbprq
x	l	lbvmfdwxz	xbvmfdwlz
t	c	rvjct	rvjtc
c	s	csrt	scrt
s	q	rjcgsdtlq	rjcgqdtls
w	l	lpwgh	wplgh
s	w	wvtbcmsj	svtbcmwj
v	f	dmjfvh	dmjvfh
t	w	ptwzd	pwtzd
b	k	kfbl	bfkl
j	w	jwhzq	wjhzq
b	z	ndbzjt	ndzbjt
r	d	svdr	svrd
q	v	hzxnkvfqdl	hzxnkqfvdl
v	m	krmdvbxz	krvdmbxz
n	t	ndxhtr	tdxhnr
q	z	czq	cqz
k	l	qtjbkl	qtjblk
r	z	tzjqfrvb	trjqfzvb
f	s	schdtgbf	fchdtgbs
h	x	jmxvqdh	jmhvqdx
l	n	lkzns	nkzls
b	t	rnblt	rntlb
h	g	chgml	cghml
k	l	sqmwkjl	sqmwljk
l	r	rfwmblk	lfwmbrk
l	n	cnpxwzls	clpxwzns
r	n	prnj	pnrj
c	z	mwzcdv	mwczdv
g	q	tmqg	tmgq
b	w	bdw	wdb
l	s	cbsl	cbls
k	f	fvbk	kvbf
f	r	ftrb	rtfb
t	z	kftwz	kfzwt
l	f	rfldv	rlfdv
j	v	kjbrcdxvtl	kvbrcdxjtl
q	d	qgmdz	dgmqz
j	q	dhqmlcjtprw	dhjmlcqtprw
q	p	pqf	qpf
s	f	fpblsnxmh	spblfnxmh
s	j	jnsdtwc	snjdtwc
f	v	vgf	fgv
w	v	wvdbm	vwdbm
m	k	mjlkhwfn	kjlmhwfn
k	x	dnxkp	dnkxp
k	z	zhcdk	khcdz
d	w	qjwdn	qjdwn
s	q	sjqgcwl	qjsgcwl
w	g	gxwbm	wxgbm
q	h	khmlfpq	kqmlfph
m	k	mqvpkrd	kqvpmrd
l	p	pgljrvq	lgpjrvq
l	t	xfjmlht	xfjmthl
j	s	njxdls	nsxdlj
m	n	nmpql	mnpql
n	h	hnvl	nhvl
n	r	wrxnp	wnxrp
z	r	mrz	mzr
m	k	nrpmk	nrpkm
k	x	xvrdzbks	kvrdzbxs
z	r	grhftxqz	gzhftxqr
d	z	dkzxrpn	zkdxrpn
f	h	thxmfd	tfxmhd
s	c	gxckswf	gxskcwf
s	d	tspjdwn	tdpjswn
n	z	qmdnz	qmdzn
b	g	wzcbgmf	wzcgbmf
z	p	szpq	spzq
j	b	qbj	qjb
c	s	sxct	cxst
z	l	zljx	lzjx
r	b	nbmcrdj	nrmcbdj
h	t	hcgt	tcgh
m	g	bmwxdg	bgwxdm
f	v	hvfptn	hfvptn
w	s	jswdxtvph	jwsdxtvph
v	m	mkfpv	vkfpm
l	n	hvwln	hvwnl
t	j	bwtj	bwjt
b	z	qzbxwl	qbzxwl
l	d	bclqd	bcdql
n	q	gkrxqn	gkrxnq
z	l	lbz	zbl
l	c	cgkdql	lgkdqc
t	h	hmpztgx	tmpzhgx
b	z	zbcv	bzcv
w	b	brjw	wrjb
j	n	jnltg	njltg
f	d	mqsgdfrb	mqsgfdrb
b	l	tlb	tbl
n	g	nmhrfg	gmhrfn
h	f	jqfgh	jqhgf
g	c	mgdc	mcdg
f	n	nlvfjbp	flvnjbp
t	h	thc	htc
f	j	vndlcbfjzh	vndlcbjfzh
p	f	mqcfdwjp	mqcpdwjf
k	j	xkrj	xjrk
m	g	hcsgm	hcsmg
z	s	zsxl	szxl
n	l	wnpflmh	wlpfnmh
l	q	rlzq	rqzl
k	q	kxwq	qxwk
v	x	qvmpjx	qxmpjv
c	g	rcg	rgc
n	p	nfhqsjmpgl	pfhqsjmngl
r	f	fxrqms	rxfqms
z	v	bcvtqzd	bcztqvd
p	x	thwxlp	thwplx
z	x	vxz	vzx
b	g	kglsbr	kblsgr
j	n	jntz	njtz
m	v	gmtxzkvl	gvtxzkml
t	q	qgtl	tgql
s	g	vbsg	vbgs
l	s	lqshr	sqlhr
w	v	dnkwzvg	dnkvzwg
c	q	qzmcs	czmqs
b	q	bdmqprwx	qdmbprwx
n	s	wvsbznp	wvnbzsp
s	q	lrqs	lrsq
s	z	shwmdzj	zhwmdsj
t	m	mctkbhdg	tcmkbhdg
n	f	xfbmnl	xnbmfl
c	k	btkcpqr	btckpqr
t	k	kdwpct	tdwpck
s	r	vzrxsl	vzsxrl
g	v	dfgrv	dfvrg
p	k	qvkmnp	qvpmnk
d	h	nvdhw	nvhdw
k	m	wbmvpkls	wbkvpmls
p	c	psc	csp
k	s	gsbtfckh	gkbtfcsh
v	p	pcwv	vcwp
w	j	vjwhz	vwjhz
f	t	stgfbmdr	sfgtbmdr
j	n	jnk	njk
b	v	wlncbrmv	wlncvrmb
c	m	fmjrtc	fcjrtm
d	g	gdz	dgz
v	t	mpxsbtqnlrv	mpxsbvqnlrt
w	x	krxw	krwx
v	c	vsmtc	csmtv
h	s	jqhxds	jqsxdh
r	j	rkcjl	jkcrl
f	k	jnbclmkfz	jnbclmfkz
w	s	cwdsgh	csdwgh
r	n	rnd	nrd
k	n	wxnkdpqsz	wxkndpqsz
n	w	dnwx	dwnx
r	d	dgtrh	rgtdh
p	z	swlzp	swlpz
s	x	kpqtxsh	kpqtsxh
f	z	thzf	thfz
t	g	mdgtwc	mdtgwc
t	j	jhtx	thjx
v	w	vxw	wxv
g	w	wnhbpg	gnhbpw
w	n	zswcn	zsncw
x	q	hflrkqsxnmw	hflrkxsqnmw
t	f	ftxl	tfxl
v	q	jqvlm	jvqlm
d	c	cvxdlhzr	dvxclhzr
j	t	tjv	jtv
m	v	dmqlhrbv	dvqlhrbm
f	p	nrmpf	nrmfp
l	g	glqn	lgqn
w	k	wrmgkxs	krmgwxs
r	q	cqtvxr	crtvxq
f	b	bfqht	fbqht
m	v	cvmxq	cmvxq
z	c	cvzrn	zvcrn
v	r	njrhpvck	njvhprck
j	f	btfhjr	btjhfr
z	d	dkbzt	zkbdt
c	d	mvtxcdw	mvtxdcw
j	n	ldwhbksnj	ldwhbksjn
c	p	tnzchp	tnzphc
s	j	sjfprth	jsfprth
z	d	drtxzgp	zrtxdgp
j	c	nkcxdfjl	nkjxdfcl
s	n	dns	dsn
s	k	bltkws	bltswk
v	n	vqbtn	nqbtv
p	d	pjdxsh	djpxsh
g	b	pbgw	pgbw
m	x	mkx	xkm
f	b	dbfh	dfbh
l	b	jlbkm	jblkm
b	s	jrfxsbg	jrfxbsg
g	k	xgtkrvqch	xktgrvqch
t	q	tsqxp	qstxp
p	n	xbfpznk	xbfnzpk
b	j	bnj	jnb
q	v	wqmgjhtv	wvmgjhtq
l	h	xflmhj	xfhmlj
l	q	gqblw	glbqw
p	s	srhpv	prhsv
f	r	wfrtkp	wrftkp
c	n	ncld	cnld
q	f	dxnqfj	dxnfqj
l	b	cblq	clbq
r	w	rws	wrs
x	t	tsqpzxl	xsqpztl
p	g	gsp	psg
p	b	ptbr	btpr
w	j	npgwjd	npgjwd
x	t	wtgjxvhrbqd	wxgjtvhrbqd
q	x	lnsxqr	lnsqxr
v	n	qvngwh	qnvgwh
n	v	vcwnt	ncwvt
l	s	bptnfsld	bptnflsd
s	r	mrslp	msrlp
h	q	wshq	wsqh
g	s	xzglqsn	xzslqgn
r	z	vrzfplmdwb	vzrfplmdwb
p	x	pgxmb	xgpmb
c	f	ftbcvq	ctbfvq
h	v	vhs	hvs
d	z	dpgz	zpgd
x	f	qmkxf	qmkfx
t	q	jkqvhtf	jktvhqf
r	c	lhztrcpbw	lhztcrpbw
c	k	cnhzk	knhzc
q	d	dqc	qdc
b	s	pbws	pswb
b	p	dxpbw	dxbpw
b	v	npfbkv	npfvkb
q	t	dqt	dtq
j	z	tclbfwdjpz	tclbfwdzpj
t	z	zdtv	tdzv
h	m	hlvqmwj	mlvqhwj
g	r	rvgnx	gvrnx
q	j	gmczswqhlj	gmczswjhlq
r	t	qtbjplzr	qrbjplzt
t	h	lnkhct	lnktch
l	z	pdvflzwsq	pdvfzlwsq
p	r	hrpt	hprt
k	b	bskt	ksbt
s	p	jgpslncq	jgsplncq
s	f	knfsvlg	knsfvlg
x	w	pwqxs	pxqws
j	w	kwtj	kjtw
j	m	msjqd	jsmqd
j	r	jrt	rjt
z	v	zvc	vzc
n	b	knpb	kbpn
b	s	bsmhw	sbmhw
m	k	zxkmnr	zxmknr
r	g	grwtmf	rgwtmf
c	n	cvrnq	nvrcq
l	t	ftnkl	flnkt
d	r	dlgzjvtr	rlgzjvtd
t	f	fvtjhd	tvfjhd
x	c	cjhxl	xjhcl
q	b	fctxgbqw	fctxgqbw
r	w	rjkpws	wjkprs
g	d	gwkdrh	dwkgrh
q	v	rvwqf	rqwvf
n	d	fnkdz	fdknz
w	s	wktsl	sktwl
n	q	lqn	lnq
j	z	zjv	jzv
w	f	nfwtg	nwftg
d	g	dmcg	gmcd
j	g	zhdxgj	zhdxjg
h	f	gcfh	gchf
q	g	wpgfq	wpqfg
h	n	bhnvx	bnhvx
s	n	zdnqs	zdsqn
c	v	hmzcnjv	hmzvnjc
q	v	ljvqtmkx	ljqvtmkx
d	f	fmtdbkn	dmtfbkn
q	m	qhm	mhq
d	z	fbdhz	fbzhd
t	x	cpvbxt	cpvbtx
t	s	bvrwcst	bvrwcts
c	v	cfnvb	vfncb
j	p	nkjhdpmq	nkphdjmq
d	l	wlvmd	wdvml
w	t	tqvwmlzgjbxr	wqvtmlzgjbxr
r	c	crd	rcd
q	v	vqsrg	qvsrg
w	p	nxpwg	nxwpg
l	s	hdls	hdsl
v	f	vnzwf	fnzwv
h	j	jkhndb	hkjndb
t	z	ztvjq	tzvjq
l	w	xmzdqswgl	xmzdqslgw
k	v	kpqv	vpqk
j	v	zvj	zjv
w	x	mxwpl	mwxpl
q	n	nbmpzwtq	qbmpzwtn
s	h	sqhvfx	hqsvfx
r	s	pbskfrtxvd	pbrkfstxvd
f	w	nckfwgm	nckwfgm
j	p	jvp	pvj
v	h	qlfhwv	qlfvwh
g	x	zglfdtpx	zxlfdtpg
t	c	bncts	bntcs
l	t	kthl	klht
b	f	zfxbw	zbxfw
m	j	jpxmhvlrsn	mpxjhvlrsn
h	v	vhjl	hvjl
s	m	snkmp	mnksp
b	w	qwjgnmb	qbjgnmw
s	g	sgznbx	gsznbx
m	z	vpbmjzs	vpbzjms
d	w	wpldgrk	dplwgrk
k	v	pgvck	pgkcv
s	j	wsvmkzrjq	wjvmkzrsq
t	q	bcnsxqtkw	bcnsxtqkw
p	s	plqnsj	slqnpj
s	t	fzts	fzst
t	m	xvlthnqm	xvlmhnqt
t	w	hnptws	hnpwts
w	m	jmw	jwm
z	n	fplrknzw	fplrkznw
w	f	fwb	wfb
d	j	stzrjhd	stzrdhj
h	f	nsfh	nshf
b	s	ksbc	kbsc
m	b	vnjhbml	vnjhmbl
d	b	bdm	dbm
b	g	lpxgbtvkr	lpxbgtvkr
m	b	smknpjb	sbknpjm
v	j	vjzkpln	jvzkpln
j	x	jxd	xjd
d	t	bthrwds	bdhrwts
b	k	bznkhdj	kznbhdj
t	k	qptkhn	qpkthn
q	g	gqlfmbjcn	qglfmbjcn
j	z	wrkzjt	wrkjzt
r	g	lgr	lrg
f	c	dcrbqvfm	dfrbqvcm
p	v	qmvp	qmpv
b	t	trbsj	brtsj
r	v	ndrvp	ndvrp
l	t	tpsl	lpst
r	d	brqdc	bdqrc
s	z	gsdz	gzds
g	m	qksdvmg	qksdvgm
d	c	fcdk	fdck
c	k	fxgdnsck	fxgdnskc
p	v	tpvms	tvpms
n	f	zqbksnxtf	zqbksfxtn
s	g	wgkxqmvtjs	wskxqmvtjg
n	d	zkfnqdx	zkfdqnx
g	c	gjcq	cjgq
f	g	xrfqkg	xrgqkf
d	w	drwqjzmcgxvsp	wrdqjzmcgxvsp
q	r	xshdcbqrf	xshdcbrqf
q	l	btqcwl	btlcwq
g	t	cgthv	ctghv
g	j	gwfthqj	jwfthqg
j	b	vdbpjg	vdjpbg
k	h	jhk	jkh
c	x	fxpzvc	fcpzvx
k	g	gbjrqks	kbjrqgs
r	k	rkfp	krfp
f	j	vfj	vjf
q	n	pjnqh	pjqnh
m	d	rcdvjmt	rcmvjdt
q	b	qbzt	bqzt
r	c	dcgkbjrn	drgkbjcn
x	w	vrpbzxwfd	vrpbzwxfd
v	b	bdvh	vdbh
g	v	pvwgzdn	pgwvzdn
q	s	lvnxqst	lvnxsqt
f	d	zqhjsfbdvcr	zqhjsdbfvcr
p	w	vptw	vwtp
v	j	scxbjv	scxbvj
f	c	fcnrdqgl	cfnrdqgl
z	f	fjxvz	zjxvf
b	g	gbk	bgk
n	w	cnzwpkt	cwznpkt
k	g	dkjgh	dgjkh
p	w	fwspkjb	fpswkjb
j	h	dbhpj	dbjph
f	v	vkmfhj	fkmvhj
j	t	dbvjt	dbvtj
b	z	jzgxbcvk	jbgxzcvk
z	q	lzqnshv	lqznshv
d	g	qdxg	qgxd
h	c	cjh	hjc
f	h	qxfhwc	qxhfwc
s	p	sdp	pds
z	r	lwjmztdrqv	lwjmrtdzqv
m	w	bwnpmd	bmnpwd
v	f	wfcvz	wvcfz
d	s	pcds	pcsd
n	r	mrn	mnr
s	t	svt	tvs
k	v	mbgkncv	mbgvnck
s	d	thdjpsc	thsjpdc
x	k	nhbxksg	nhbkxsg
z	l	fjztpclbq	fjltpczbq
l	q	lbqcz	qblcz
f	w	ksbwfczn	ksbfwczn
k	t	tkmnr	ktmnr
b	k	ksmzb	bsmzk
t	d	dsxt	tsxd
v	n	vjmfcpn	njmfcpv
w	j	jnpbzrw	wnpbzrj
t	b	blt	tlb
l	b	rbdthfglncv	rldthfgbncv
h	j	jghf	hgjf
b	r	grbs	gbrs
l	g	mprqlg	mprqgl
t	c	vfqtpcgb	vfqcptgb
n	r	rfbmkjnh	nfbmkjrh
s	d	vgds	vgsd
q	c	vsqntcdb	vscntqdb
p	l	dbwqlpj	dbwqplj
c	j	pcj	pjc
m	d	zsmd	zsdm
h	k	jhcwfqk	jkcwfqh
w	n	wnqh	nwqh
x	k	wcsfkxgdb	wcsfxkgdb
z	b	vrdzbn	vrdbzn
v	q	rgqlpv	rgvlpq
n	f	nfb	fnb
g	m	mzhxgv	gzhxmv
v	s	tszhlv	tvzhls
q	p	dkqwmp	dkpwmq
n	g	cwxnvg	cwxgvn
z	l	lsrzhnxtp	zsrlhnxtp
c	p	wfvkldpgcj	wfvkldcgpj
f	l	xjnmflskbzh	xjnmlfskbzh
z	r	tlpscrz	tlpsczr
w	b	bwjgdsnm	wbjgdsnm
s	f	xlfwspbt	xlswfpbt
c	d	lwcds	lwdcs
b	q	qxrlb	bxrlq
m	q	gqm	gmq
j	k	tkjsx	tjksx
g	n	kdrwgfjsn	kdrwnfjsg
l	x	lhnxcg	xhnlcg
l	k	txhlk	txhkl
t	s	stc	tsc
h	s	jkhs	jksh
q	c	qlhjmpvcf	clhjmpvqf
l	b	bvjql	lvjqb
c	m	mcjgw	cmjgw
t	r	tfrlv	rftlv
m	b	dmbgqhtc	dbmgqhtc
d	b	thdkbsp	thbkdsp
j	f	pzkhmjvntxfq	pzkhmfvntxjq
b	d	hvdzbq	hvbzdq
j	q	vqj	vjq
c	f	rbfhlcqn	rbchlfqn
p	q	kqxp	kpxq
f	d	ldrft	lfrdt
j	n	jlwmnkpt	nlwmjkpt
f	s	gfcs	gscf
r	p	crp	cpr
g	f	dvpnftg	dvpngtf
w	f	nfjw	nwjf
n	l	lnctjkm	nlctjkm
l	f	lvjhrfs	fvjhrls
g	j	dpwjg	dpwgj
s	f	sqfgd	fqsgd
p	k	pvkqr	kvpqr
z	v	vwrhfjz	zwrhfjv
x	k	jzksx	jzxsk
j	l	lcgjrt	jcglrt
d	m	bkphrlcmxjdf	bkphrlcdxjmf
s	j	sxj	jxs
r	k	krfls	rkfls
h	v	zmhv	zmvh
d	x	dqxw	xqdw
l	j	jhctmzl	lhctmzj
h	g	kmhg	kmgh
n	b	nbspvfl	bnspvfl
j	s	hsxj	hjxs
h	g	zhgp	zghp
p	z	zgkcp	pgkcz
g	w	wjgt	gjwt
b	v	vbncl	bvncl
v	g	nqdxvg	nqdxgv
v	r	rnfdbkv	vnfdbkr
c	p	clpknd	plcknd
g	d	gdz	dgz
q	p	pvkcwhgqsd	qvkcwhgpsd
w	p	gdpw	gdwp
q	m	mxkq	qxkm
l	k	flkw	fklw
p	m	bcmqp	bcpqm
s	t	tpnwrzs	spnwrzt
s	c	tscb	tcsb
h	p	dxhpgtmk	dxphgtmk
p	r	rsljwp	psljwr
d	v	dpsvrgz	vpsdrgz
j	r	jhnr	rhnj
x	m	kgxmdvpr	kgmxdvpr
j	c	mjcg	mcjg
n	v	nvjh	vnjh
s	h	phsqkwf	pshqkwf
d	b	fdbxjw	fbdxjw
t	z	zwtf	twzf
r	z	zfbr	rfbz
q	p	pql	qpl
q	r	cfntxrqw	cfntxqrw
h	z	ckhrlz	ckzrlh
r	j	xnbzrjwh	xnbzjrwh
r	j	rvjqxw	jvrqxw
q	m	mrbqf	qrbmf
h	z	lbhzrxcgt	lbzhrxcgt
d	f	kcjdfg	kcjfdg
f	h	gjfzvhd	gjhzvfd
s	c	jwcxsl	jwsxcl
x	r	gwmxr	gwmrx
p	b	prsqbkhz	brsqpkhz
w	m	xwmq	xmwq
k	z	lzmtsk	lkmtsz
p	f	rpdf	rfdp
l	m	dxml	dxlm
v	g	kpjxvg	kpjxgv
r	p	wvrhtnqplx	wvphtnqrlx
p	r	npjkr	nrjkp
p	s	csdpjfz	cpdsjfz
x	g	xhcgf	ghcxf
m	c	vtmcf	vtcmf
k	m	cmk	ckm
p	z	tvdpzmxkhr	tvdzpmxkhr
v	q	vfjlmkxqzw	qfjlmkxvzw
p	z	wfzpb	wfpzb
c	r	tpczqr	tprzqc
x	t	xnht	tnhx
g	h	vhdgq	vgdhq
g	c	lcksngpzvqh	lgksncpzvqh
s	w	dpkhvwsz	dpkhvswz
m	j	smkbzj	sjkbzm
v	x	mbhnrxvdf	mbhnrvxdf
v	t	fvhlzntwrj	fthlznvwrj
m	b	bctsmzvw	mctsbzvw
v	j	mjtvpd	mvtjpd
f	h	lbdwcfhpv	lbdwchfpv
m	x	bhvqxsdm	bhvqmsdx
j	v	vcmzj	jcmzv
c	g	cxgvrf	gxcvrf
d	q	kdq	kqd
n	c	nrmc	crmn
z	h	zxhdskbtv	hxzdskbtv
f	k	kpxlndqwbmvf	fpxlndqwbmvk
c	j	cswj	jswc
k	x	frblkwxzdm	frblxwkzdm
m	w	bwljm	bmljw
s	k	pfsk	pfks
z	k	nwkzrtd	nwzkrtd
n	d	dcnhkq	ncdhkq
w	q	cwqkndj	cqwkndj
d	h	htsqzdw	dtsqzhw
w	m	wnmlx	mnwlx
h	b	bhrwfvjqtx	hbrwfvjqtx
p	j	nxvldjpm	nxvldpjm
s	j	rmsj	rmjs
p	v	jspv	jsvp
x	w	xwvkhs	wxvkhs
