input1	input2	input3	label
n	f	login	logif
d	h	student	stuhent
l	v	let	vet
o	w	programs	prwgrams
o	d	offers	dffers
g	d	legal	ledal
b	e	above	aeove
n	k	recent	recekt
k	d	park	pard
e	l	stores	storls
d	p	side	sipe
c	b	act	abt
p	u	problem	uroblem
d	u	red	reu
v	y	give	giye
e	d	memory	mdmory
e	r	performance	prrformancr
o	f	social	sfcial
s	w	august	auguwt
o	g	quote	qugte
u	b	language	langbage
s	z	story	ztory
l	m	sell	semm
t	d	options	opdions
n	k	experience	experiekce
a	t	rates	rttes
r	e	create	ceeate
k	o	key	oey
y	h	body	bodh
n	r	young	yourg
c	j	america	amerija
a	i	important	importint
d	v	field	fielv
e	s	few	fsw
a	q	east	eqst
p	h	paper	haher
l	s	single	singse
g	v	age	ave
t	m	activities	acmivimies
l	a	club	caub
x	z	example	ezample
g	n	girls	nirls
d	a	additional	aaaitional
o	z	password	passwzrd
s	z	latest	latezt
s	r	something	romething
a	p	road	ropd
f	m	gift	gimt
s	x	question	quextion
n	d	changes	chadges
g	i	night	niiht
d	t	hard	hart
x	g	texas	tegas
t	d	oct	ocd
y	g	pay	pag
o	v	four	fvur
r	n	poker	poken
a	l	status	stltus
b	u	browse	urowse
i	y	issue	yssue
e	v	range	rangv
l	n	building	buinding
e	y	seller	syllyr
t	d	court	courd
a	l	february	februlry
s	l	always	alwayl
s	m	result	remult
o	s	audio	audis
l	q	light	qight
e	p	write	writp
a	i	war	wir
n	b	nov	bov
e	u	offer	offur
e	a	blue	blua
u	i	groups	groips
s	m	easy	eamy
g	l	given	liven
e	q	files	filqs
t	h	event	evenh
l	k	release	rekease
n	l	analysis	alalysis
e	p	request	rpqupst
a	r	fax	frx
h	f	china	cfina
i	a	making	makang
r	d	picture	pictude
s	c	needs	needc
l	q	possible	possibqe
i	w	might	mwght
l	l	professional	professional
y	r	yet	ret
n	l	month	molth
m	n	major	najor
r	p	star	stap
s	l	areas	areal
u	e	future	fetere
e	p	space	spacp
i	k	committee	commkttee
a	h	hand	hhnd
s	i	sun	iun
d	s	cards	carss
r	w	problems	pwoblems
o	h	london	lhndhn
a	c	washington	wcshington
m	k	meeting	keeting
r	n	rss	nss
o	u	become	becume
i	h	interest	hnterest
i	w	child	chwld
e	l	keep	kllp
t	o	enter	enoer
c	u	california	ualifornia
n	x	porn	porx
h	e	share	seare
l	q	similar	simiqar
n	t	garden	gardet
c	j	schools	sjhools
l	g	million	miggion
a	p	added	pdded
e	l	reference	rlflrlncl
n	e	companies	compaeies
s	r	listed	lirted
y	h	baby	babh
i	g	learning	learngng
r	s	energy	enesgy
r	m	run	mun
i	j	delivery	deljvery
t	b	net	neb
a	s	popular	populsr
r	c	term	tecm
l	z	film	fizm
e	s	stories	storiss
t	f	put	puf
m	s	computers	cosputers
j	r	journal	rournal
e	r	reports	rrports
t	l	try	lry
e	x	welcome	wxlcomx
a	k	central	centrkl
i	t	images	tmages
r	w	president	pwesident
e	f	notice	noticf
g	o	god	ood
n	t	original	origital
a	e	head	heed
d	t	radio	ratio
t	d	until	undil
e	l	cell	clll
o	s	color	cslsr
s	d	self	delf
u	r	council	corncil
a	o	away	owoy
l	v	includes	incvudes
a	o	track	trock
t	p	australia	auspralia
i	e	discussion	descusseon
v	f	archive	archife
e	f	once	oncf
r	c	others	othecs
a	y	entertainment	entertyinment
n	i	agreement	agreemeit
m	h	format	forhat
l	r	least	reast
t	u	society	socieuy
t	w	months	monwhs
o	y	log	lyg
t	k	safety	safeky
f	a	friends	ariends
u	j	sure	sjre
f	n	faq	naq
t	l	trade	lrade
t	l	edition	edilion
c	h	cars	hars
e	f	messages	mfssagfs
t	k	marketing	markeking
e	y	tell	tyll
h	q	further	furtqer
a	e	updated	updeted
a	b	association	bssocibtion
a	j	able	jble
n	m	having	havimg
o	h	provides	prhvides
d	t	david	tavit
u	g	fun	fgn
d	x	already	alreaxy
g	r	green	rreen
d	v	studies	stuvies
c	a	close	alose
c	k	common	kommon
d	s	drive	srive
s	h	specific	hpecific
r	c	several	sevecal
l	p	gold	gopd
f	i	feb	ieb
v	d	living	liding
e	w	sep	swp
l	m	collection	commection
l	d	called	cadded
r	c	short	shoct
r	c	arts	acts
l	g	lot	got
k	t	ask	ast
p	f	display	disflay
e	m	limited	limitmd
o	r	powered	prwered
l	b	solutions	sobutions
n	p	means	meaps
o	u	director	directur
i	a	daily	daaly
c	c	beach	beach
a	z	past	pzst
a	w	natural	nwturwl
t	h	whether	whehher
e	w	due	duw
e	f	electronics	flfctronics
e	r	five	fivr
u	k	upon	kpon
e	s	period	psriod
i	t	planning	planntng
s	d	database	databade
y	o	says	saos
i	x	official	offxcxal
a	e	weather	weether
m	s	mar	sar
a	h	land	lhnd
a	j	average	jverjge
d	k	done	kone
n	h	technical	techhical
d	w	window	winwow
f	v	france	vrance
r	s	pro	pso
i	f	region	regfon
l	r	island	isrand
o	u	record	recurd
c	f	direct	direft
t	z	microsoft	microsofz
o	i	conference	cinference
e	m	environment	mnvironmmnt
d	a	records	recoras
c	n	district	distrint
a	e	calendar	celender
o	w	costs	cwsts
e	a	style	styla
u	j	url	jrl
n	u	front	frout
n	m	statement	statememt
t	p	update	updape
p	y	parts	yarts
u	m	aug	amg
e	a	ever	avar
n	s	downloads	dowsloads
y	z	early	earlz
s	h	miles	mileh
u	t	sound	sotnd
e	o	resource	rosourco
s	b	present	prebent
s	c	applications	applicationc
r	v	either	eithev
g	i	ago	aio
o	e	document	decument
d	t	word	wort
s	a	works	worka
t	r	material	marerial
b	e	bill	eill
p	e	apr	aer
r	g	written	wgitten
t	f	talk	falk
f	w	federal	wederal
g	m	hosting	hostinm
l	u	rules	ruues
l	n	final	finan
a	v	adult	vdult
e	f	tickets	tickfts
h	v	thing	tving
r	h	centre	centhe
n	z	requirements	requiremezts
a	v	via	viv
h	y	cheap	cyeap
e	m	nude	nudm
i	y	kids	kyds
n	j	finance	fijajce
u	n	true	trne
s	t	minutes	minutet
s	t	else	elte
r	z	mark	mazk
i	c	third	thcrd
c	u	rock	rouk
g	b	gifts	bifts
u	w	europe	ewrope
e	x	reading	rxading
p	w	topics	towics
d	w	bad	baw
n	m	individual	imdividual
p	t	tips	tits
u	g	plus	plgs
a	d	auto	duto
o	w	cover	cwver
a	x	usually	usuxlly
t	n	edit	edin
r	b	together	togetheb
o	r	videos	viders
r	g	percent	pegcent
a	s	fast	fsst
i	s	function	functson
f	o	fact	oact
u	y	unit	ynit
t	j	getting	gejjing
a	c	global	globcl
t	a	tech	aech
t	k	meet	meek
f	o	far	oar
e	b	economic	bconomic
e	b	player	playbr
r	d	projects	pdojects
y	i	lyrics	lirics
o	f	often	fften
i	k	subscribe	subscrkbe
u	h	submit	shbmit
r	n	germany	genmany
a	i	amount	imount
a	m	watch	wmtch
i	h	included	hncluded
e	s	feel	fssl
o	b	though	thbugh
n	h	bank	bahk
s	a	risk	riak
s	o	thanks	thanko
g	i	everything	everythini
e	d	deals	ddals
u	k	various	varioks
r	a	words	woads
x	u	linux	linuu
l	n	jul	jun
u	e	production	prodection
o	j	commercial	cjmmercial
m	h	james	jahes
t	a	weight	weigha
n	b	town	towb
t	e	heart	heare
s	g	advertising	advertiging
c	d	received	redeived
e	n	choose	choosn
r	s	treatment	tseatment
r	u	newsletter	newsletteu
h	q	archives	arcqives
n	j	points	poijts
e	w	knowledge	knowlwdgw
e	s	magazine	magazins
e	c	error	crror
r	x	camera	camexa
u	o	jun	jon
g	t	girl	tirl
n	f	currently	curreftly
o	t	construction	ctnstructitn
t	j	toys	joys
d	d	registered	registered
r	e	clear	cleae
f	b	golf	golb
c	h	receive	reheive
o	d	domain	ddmain
e	u	methods	muthods
t	b	chapter	chapber
a	x	makes	mxkes
r	y	protection	pyotection
s	v	policies	policiev
n	j	loan	loaj
e	r	wide	widr
u	w	beauty	beawty
g	y	manager	manayer
a	t	india	indit
n	h	position	positioh
k	z	taken	tazen
r	n	sort	sont
t	q	listings	lisqings
o	t	models	mtdels
i	t	michael	mtchael
o	c	known	kncwn
h	s	half	salf
e	h	cases	cashs
p	g	step	steg
e	d	engineering	dnginddring
l	c	florida	fcorida
s	h	simple	himple
c	t	quick	quitk
o	q	none	nqne
s	s	wireless	wireless
c	q	license	liqense
u	d	paul	padl
y	a	friday	fridaa
e	h	lake	lakh
w	d	whole	dhole
l	c	annual	annuac
e	k	published	publishkd
t	b	later	laber
a	k	basic	bksic
n	u	sony	souy
h	e	shows	seows
p	j	corporate	corjorate
e	t	google	googlt
h	e	church	ceurce
d	d	method	method
u	l	purchase	plrchase
s	s	customers	customers
a	l	active	lctive
p	l	response	reslonse
a	y	practice	pryctice
h	x	hardware	xardware
i	o	figure	fogure
r	w	materials	matewials
r	k	fire	fike
o	r	holiday	hrliday
t	b	chat	chab
g	o	enough	enouoh
n	t	designed	desigted
g	a	along	alona
g	d	among	amond
t	u	death	deauh
i	w	writing	wrwtwng
d	o	speed	speeo
h	r	html	rtml
r	h	countries	counthies
o	y	loss	lyss
c	w	face	fawe
b	b	brand	brand
o	o	discount	discount
g	a	higher	hiaher
c	i	effects	effeits
t	n	created	creaned
m	y	remember	reyeyber
d	q	standards	stanqarqs
o	y	oil	yil
t	g	bit	big
y	l	yellow	lellow
c	l	political	politilal
i	g	increase	gncrease
t	w	advertise	adverwise
n	m	kingdom	kimgdom
s	a	base	baae
a	i	near	neir
v	j	environmental	enjironmental
u	u	thought	thought
f	l	stuff	stull
h	d	french	frencd
e	s	storage	storags
p	h	japan	jahan
g	e	doing	doine
a	i	loans	loins
e	o	shoes	shoos
y	t	entry	entrt
s	f	stay	ftay
r	y	nature	natuye
o	b	orders	brders
i	j	availability	avajlabjljty
f	k	africa	akrica
u	s	summary	ssmmary
t	y	turn	yurn
m	w	mean	wean
o	u	growth	gruwth
s	q	notes	noteq
a	x	agency	xgency
n	e	king	kieg
o	u	monday	munday
o	e	european	eurepean
t	u	activity	acuiviuy
y	z	copy	copz
h	k	although	altkougk
u	w	drug	drwg
p	p	pics	pics
r	e	western	westeen
m	p	income	incope
r	y	force	foyce
s	r	cash	carh
y	m	employment	emplomment
v	f	overall	oferall
a	x	bay	bxy
r	o	river	oiveo
s	j	commission	commijjion
g	k	package	packake
c	y	contents	yontents
s	c	seen	ceen
y	n	players	planers
g	b	engine	enbine
p	u	port	uort
m	i	album	albui
a	o	regional	regionol
t	o	stop	soop
i	k	supplies	supplkes
s	t	started	ttarted
o	o	administration	administration
r	x	bar	bax
i	f	institute	fnstftute
s	b	views	viewb
p	r	plans	rlans
u	h	double	dohble
o	u	dog	dug
i	k	build	bukld
e	e	screen	screen
c	s	exchange	exshange
p	b	types	tybes
s	c	soon	coon
s	f	sponsored	fponfored
i	p	lines	lpnes
c	c	electronic	electronic
o	c	continue	ccntinue
s	a	across	acroaa
n	y	benefits	beyefits
e	q	needed	nqqdqd
n	o	season	seasoo
a	t	apply	tpply
s	b	someone	bomeone
l	j	held	hejd
h	m	anything	anytming
i	f	printer	prfnter
i	k	condition	condktkon
t	n	effective	effecnive
b	t	believe	telieve
