input1	input2	label
q	gldrqpbmf	gldrpbmf
q	jczbrxq	jczbrx
m	lzpmrkc	lzprkc
s	srvxq	rvxq
n	grnz	grz
s	hjzblstm	hjzbltm
k	xmkt	xmt
j	gjc	gc
t	fgct	fgc
s	rjcsh	rjch
v	zvfn	zfn
d	kdjwm	kjwm
h	vlhk	vlk
j	nwqjld	nwqld
h	tchrsk	tcrsk
j	bpjkt	bpkt
n	nrbh	rbh
l	xlqzws	xqzws
s	dxfrhvs	dxfrhv
z	zqgs	qgs
k	tgwvk	tgwv
g	gsf	sf
h	zgchmv	zgcmv
j	hqjlr	hqlr
d	tpdlw	tplw
w	rbwd	rbd
s	qprstzx	qprtzx
r	tmqr	tmq
f	nftzm	ntzm
h	psfzmhb	psfzmb
w	whsl	hsl
l	fwklr	fwkr
c	cxq	xq
k	cfnk	cfn
h	sghn	sgn
m	vlmt	vlt
r	rqdj	qdj
k	krdc	rdc
w	wfq	fq
s	vqwsn	vqwn
w	chnwtbm	chntbm
z	mfhvgzrs	mfhvgrs
w	flxrwzknjt	flxrzknjt
z	lqrvzct	lqrvct
t	tfpm	fpm
s	mbcs	mbc
l	ljk	jk
k	zkqhrcw	zqhrcw
n	kcnmgfh	kcmgfh
l	jplm	jpm
w	hgkw	hgk
n	fjtcn	fjtc
s	smk	mk
n	hmnv	hmv
l	dmsxhwvlgc	dmsxhwvgc
s	sngb	ngb
w	bpwvz	bpvz
q	xnqmb	xnmb
x	tsbxjh	tsbjh
x	wsxrh	wsrh
p	mkpx	mkx
c	dvcb	dvb
m	qdhtfjgpsrwmn	qdhtfjgpsrwn
h	sphgzk	spgzk
b	fbsg	fsg
m	fgmz	fgz
s	mdvfs	mdvf
l	bqrlzp	bqrzp
b	pdltgqbc	pdltgqc
j	fnjl	fnl
p	pgwbkfzjvtn	gwbkfzjvtn
h	kpvljh	kpvlj
f	rbf	rb
f	dtgfxw	dtgxw
b	hbrmsvx	hrmsvx
t	tdcx	dcx
x	ghwnx	ghwn
k	knzcfm	nzcfm
f	jtsxfg	jtsxg
c	fch	fh
q	qwnd	wnd
j	cqjdm	cqdm
s	kspb	kpb
n	gnfbspw	gfbspw
d	hdxtl	hxtl
r	gbfrn	gbfn
v	gxcqv	gxcq
k	lcpwkfd	lcpwfd
t	pnjwtx	pnjwx
t	chngltxsb	chnglxsb
n	kwzdnjst	kwzdjst
g	bgw	bw
t	ntsrfc	nsrfc
g	zmgs	zms
g	qsxgmh	qsxmh
r	cplvrjsk	cplvjsk
q	wjqprxf	wjprxf
f	tcnlshpfb	tcnlshpb
c	xgcqtw	xgqtw
b	tfrsbh	tfrsh
t	cdgt	cdg
v	wbfv	wbf
j	sgvqj	sgvq
x	xfd	fd
t	dtbclzvh	dbclzvh
f	thwfpvrm	thwpvrm
t	wfktpxz	wfkpxz
t	vzkpcjt	vzkpcj
c	dcnwr	dnwr
r	rkbfpd	kbfpd
d	dvqr	vqr
r	rwpdb	wpdb
v	fkvw	fkw
v	gvjl	gjl
w	rdtw	rdt
p	jbdgp	jbdg
g	gdqfl	dqfl
f	htfpsrl	htpsrl
d	lfrscd	lfrsc
m	nrlpgmt	nrlpgt
q	qtvsj	tvsj
z	gszpt	gspt
x	gdrxw	gdrw
k	fktc	ftc
v	wjvd	wjd
j	jxfb	xfb
f	fgtd	gtd
z	kbpz	kbp
x	mdgxt	mdgt
r	mzhdpjxrvq	mzhdpjxvq
s	snbtg	nbtg
g	ngtp	ntp
z	gzdwnxr	gdwnxr
j	jnbk	nbk
m	glndm	glnd
b	qktvbzh	qktvzh
q	sjlkmxq	sjlkmx
m	tmx	tx
n	nvcks	vcks
f	gxmcfh	gxmch
j	tjkfb	tkfb
l	gltnjsm	gtnjsm
v	rpndxqvh	rpndxqh
s	wjsk	wjk
v	xwfqcv	xwfqc
f	ndhtfbcq	ndhtbcq
c	lctqs	ltqs
s	bjsp	bjp
r	lntrvds	lntvds
k	vlkbp	vlbp
m	qpmgb	qpgb
s	shdj	hdj
d	cpdwkzs	cpwkzs
t	tkhm	khm
q	stxwhqrf	stxwhrf
j	bgwjqhd	bgwqhd
p	wjcpt	wjct
f	fgjsx	gjsx
c	jrscx	jrsx
k	pkn	pn
j	wpgnlhdjm	wpgnlhdm
g	cgbtprmh	cbtprmh
v	vnt	nt
m	mwrfxhn	wrfxhn
w	wxk	xk
m	txcpmk	txcpk
p	phbrv	hbrv
v	xtlvc	xtlc
f	mjhbstfvd	mjhbstvd
k	bnkqgxl	bnqgxl
k	kxjns	xjns
m	jgm	jg
c	xhcmg	xhmg
w	swd	sd
h	vhlmsqk	vlmsqk
m	bmhqx	bhqx
b	htbjnpc	htjnpc
s	xmsklbpq	xmklbpq
z	jxhz	jxh
m	bsm	bs
n	pdxmjnql	pdxmjql
r	wrmth	wmth
v	mdwgvzpqj	mdwgzpqj
l	fnzlv	fnzv
d	qdpj	qpj
g	sgmfnqcxv	smfnqcxv
q	zqvrn	zvrn
n	wlvpmjqn	wlvpmjq
q	glqtfh	gltfh
k	gnskd	gnsd
w	bwvc	bvc
j	jcgbw	cgbw
n	qndzlc	qdzlc
k	jkzx	jzx
r	wrxpnczvqb	wxpnczvqb
n	vnwdmxjp	vwdmxjp
l	lgrntx	grntx
l	mlz	mz
k	xzbmrk	xzbmr
q	xbwvqncd	xbwvncd
m	bdfnptmq	bdfnptq
n	lxqptgn	lxqptg
z	dwqzp	dwqp
b	knlbx	knlx
r	qrfmx	qfmx
f	dkqgfwv	dkqgwv
r	rmjwlzd	mjwlzd
h	hdxqpkcr	dxqpkcr
r	trdn	tdn
z	bmjztn	bmjtn
k	kqsf	qsf
v	tqv	tq
q	nzlq	nzl
b	bwxh	wxh
z	kzvn	kvn
g	gqlsh	qlsh
m	gmzws	gzws
n	rcjznwlkqs	rcjzwlkqs
m	dmcvf	dcvf
s	dnxvkqprsgf	dnxvkqprgf
n	zbn	zb
c	mfcktnpbl	mfktnpbl
z	kzfdgvm	kfdgvm
g	gcd	cd
v	sjklv	sjkl
w	njwvbmgc	njvbmgc
q	sjkqp	sjkp
s	zrspc	zrpc
d	kqnrd	kqnr
l	ckgvdbl	ckgvdb
g	dfvgh	dfvh
q	pcqwslm	pcwslm
l	lwkzjfh	wkzjfh
d	dphmlzs	phmlzs
c	fgncvld	fgnvld
h	dkhfml	dkfml
t	wbcft	wbcf
n	cnmz	cmz
l	kxrjl	kxrj
f	pwf	pw
m	xtgmv	xtgv
n	jpbrgwtn	jpbrgwt
b	jwmxhbql	jwmxhql
q	fpwsqjv	fpwsjv
p	hbpcgv	hbcgv
j	lpmbnsj	lpmbns
w	hgrqfwv	hgrqfv
x	wtqnx	wtqn
w	bvkgnws	bvkgns
l	trcl	trc
c	tcv	tv
m	nmqf	nqf
w	wvrm	vrm
d	bwhgzpd	bwhgzp
h	hwcb	wcb
t	xqtdzb	xqdzb
b	bxhdsl	xhdsl
t	ztnkhdlwx	znkhdlwx
z	qlzcp	qlcp
k	zwknx	zwnx
h	clhr	clr
j	qcrvgj	qcrvg
j	jcgqp	cgqp
w	pscgwx	pscgx
h	phm	pm
x	xsnvlt	snvlt
z	gpzcsxj	gpcsxj
d	tqdp	tqp
w	xbwl	xbl
b	gflnb	gfln
p	vlhdqsgp	vlhdqsg
d	dcx	cx
c	zdcvrt	zdvrt
j	jwctr	wctr
j	plbj	plb
b	pxhjlbr	pxhjlr
j	jsw	sw
g	vgfnbrkqtm	vfnbrkqtm
g	dbvtmgjq	dbvtmjq
t	ftbh	fbh
b	tkfrb	tkfr
q	bqpv	bpv
n	hcnqtdg	hcqtdg
v	fwvg	fwg
w	bzwn	bzn
g	dgzbkh	dzbkh
s	vsq	vq
v	rdxkvfpmqs	rdxkfpmqs
w	xklwvr	xklvr
d	btwdzrf	btwzrf
t	bftjvc	bfjvc
s	nhs	nh
j	xtdrsj	xtdrs
d	ftsd	fts
m	mnvxjpqt	nvxjpqt
k	kgwz	gwz
s	fnsz	fnz
c	pdcxw	pdxw
z	gmxsprz	gmxspr
h	xwpth	xwpt
r	xqgrphmz	xqgphmz
l	lnbwzqj	nbwzqj
q	thmq	thm
r	mksrzhp	mkszhp
m	bdmzcxvr	bdzcxvr
p	rxqpsh	rxqsh
v	vkxqhwb	kxqhwb
g	qsldgx	qsldx
r	qpkrvb	qpkvb
x	hxldt	hldt
h	jfdpch	jfdpc
l	krhlx	krhx
l	mvnkgldh	mvnkgdh
m	zjm	zj
t	fjhvtswx	fjhvswx
c	chpk	hpk
c	bzmcx	bzmx
b	bcqvzrld	cqvzrld
s	ngs	ng
t	xbcvkths	xbcvkhs
q	gbqzlv	gbzlv
k	xkf	xf
z	dmprzxnjwsb	dmprxnjwsb
j	qjsx	qsx
n	skhqn	skhq
z	tvpzjh	tvpjh
r	jwbrk	jwbk
v	qpvcrnzwg	qpcrnzwg
d	tzkbwd	tzkbw
w	hrw	hr
q	lqrntfkcw	lrntfkcw
f	wrpf	wrp
m	mzjtl	zjtl
n	kqwnz	kqwz
j	vqjwbhk	vqwbhk
w	nwlt	nlt
k	xgskqw	xgsqw
f	fqrn	qrn
g	gbm	bm
h	xvchtp	xvctp
s	zjxsv	zjxv
g	blmgxzvcdpn	blmxzvcdpn
v	wdnv	wdn
h	qzhwl	qzwl
t	tfbrvkdl	fbrvkdl
w	wqx	qx
s	bnzlcsjf	bnzlcjf
p	brklp	brkl
x	hxvs	hvs
l	jxmwfgl	jxmwfg
r	nvrcws	nvcws
j	tpmjn	tpmn
m	mgzbw	gzbw
p	npvjc	nvjc
z	crzlfsxv	crlfsxv
f	fsdclq	sdclq
m	hmqvb	hqvb
w	wqrdgtb	qrdgtb
h	nwkbdshxc	nwkbdsxc
h	qhjrck	qjrck
s	chvsbmg	chvbmg
h	rfhwlmk	rfwlmk
w	nwqpgbfk	nqpgbfk
n	qxn	qx
c	wtbxcl	wtbxl
g	gqdcj	qdcj
d	lhdqkw	lhqkw
j	jmsx	msx
s	psl	pl
s	lsjv	ljv
j	bjgwt	bgwt
d	mtjlfdw	mtjlfw
p	zphcjwdln	zhcjwdln
v	bgvdw	bgdw
c	qmsrcxv	qmsrxv
g	tgj	tj
d	jdqhzctb	jqhzctb
f	jkhfmr	jkhmr
r	przkn	pzkn
g	prgtk	prtk
b	jhvtqb	jhvtq
w	tmrw	tmr
m	plgnmb	plgnb
d	wdxr	wxr
c	scp	sp
z	mrdgszh	mrdgsh
m	hmg	hg
p	rwpq	rwq
k	zdkbfm	zdbfm
r	rzsgqhjfmvt	zsgqhjfmvt
q	ktcqvw	ktcvw
d	xdgqhl	xgqhl
f	rwhvf	rwhv
x	stlnmbxq	stlnmbq
h	lhxbt	lxbt
n	tnhx	thx
m	hlpsfqm	hlpsfq
p	hvmdkqgzpn	hvmdkqgzn
f	xvjpf	xvjp
w	pgwlkv	pglkv
t	trh	rh
x	fpxn	fpn
j	jxhkw	xhkw
z	fncdrzg	fncdrg
x	hmrzqxfkg	hmrzqfkg
g	vsghw	vshw
g	gfn	fn
p	zpxv	zxv
g	gkbjv	kbjv
x	zjqnxk	zjqnk
p	rwp	rw
c	jbslnfdcgt	jbslnfdgt
j	jtsw	tsw
n	knzthjx	kzthjx
v	vbtsh	btsh
s	wsgkzvbndj	wgkzvbndj
x	pjxkbwrv	pjkbwrv
j	sdqjxv	sdqxv
d	cdqjmptkf	cqjmptkf
s	tksf	tkf
l	mtfl	mtf
f	pcfnvzdq	pcnvzdq
l	cmpzsrl	cmpzsr
v	jpxqv	jpxq
n	cgnp	cgp
t	ptmqf	pmqf
q	qrk	rk
d	rnd	rn
l	sjgl	sjg
g	pxmtg	pxmt
z	zxltpv	xltpv
r	ltrqcf	ltqcf
g	pnghz	pnhz
b	bcptn	cptn
l	ldkzxmfb	dkzxmfb
z	czhtgm	chtgm
l	wzqlc	wzqc
g	fglvcstn	flvcstn
t	xtkszc	xkszc
p	kxpgsj	kxgsj
j	lvmjp	lvmp
d	rbxdz	rbxz
x	xczdm	czdm
c	swc	sw
k	kjh	jh
w	wbnvd	bnvd
x	fgxk	fgk
w	nwfbrh	nfbrh
b	vhsb	vhs
j	sfdjw	sfdw
p	jhnsp	jhns
v	xtnqv	xtnq
n	cxlntvq	cxltvq
v	qlzcvtxm	qlzctxm
m	shrdmvx	shrdvx
x	dmx	dm
p	jkrdp	jkrd
c	dpcsjf	dpsjf
n	dzhngjw	dzhgjw
p	hpnkx	hnkx
v	vwcjfqsx	wcjfqsx
x	rxbkf	rbkf
q	bjtnhfxlrwzq	bjtnhfxlrwz
c	wrc	wr
p	ptczw	tczw
w	qwsrv	qsrv
r	wlhr	wlh
p	bspxm	bsxm
l	vbrljp	vbrjp
b	jdbqm	jdqm
k	kdxnzrcwb	dxnzrcwb
q	gpcq	gpc
r	hrp	hp
k	frwkt	frwt
x	dzmnxvcs	dzmnvcs
g	xbgvkl	xbvkl
q	jfdhqtnkgz	jfdhtnkgz
j	stwzljq	stwzlq
g	fmg	fm
b	glbqvh	glqvh
b	bdchrpkq	dchrpkq
t	whrdt	whrd
t	tcgq	cgq
h	htlbp	tlbp
q	qpzvcxlrwh	pzvcxlrwh
z	xjzm	xjm
f	pjfwk	pjwk
d	jnbkqdp	jnbkqp
b	jztxbp	jztxp
w	wqmrhfv	qmrhfv
j	jqbpckt	qbpckt
p	dprzj	drzj
t	tgfqdwjzp	gfqdwjzp
n	njdvxhmbz	jdvxhmbz
d	fsdpvc	fspvc
b	rgpb	rgp
g	rvtczbgq	rvtczbq
h	rjbhdk	rjbdk
x	bxr	br
w	zdblgkwv	zdblgkv
v	vlw	lw
s	kbldnsc	kbldnc
n	npvk	pvk
x	jqxn	jqn
t	tdcskmx	dcskmx
f	fhr	hr
m	mxgwtsnlp	xgwtsnlp
s	nshpwzr	nhpwzr
s	qjstbxw	qjtbxw
g	tgv	tv
m	tlvkmcf	tlvkcf
r	drkjptv	dkjptv
n	znfrcj	zfrcj
m	fxvgzhjkm	fxvgzhjk
h	whvbsl	wvbsl
h	gdh	gd
l	mnhglpfr	mnhgpfr
s	sjhb	jhb
f	fgtnl	gtnl
l	lnrhg	nrhg
k	nrkv	nrv
b	fvbtw	fvtw
k	pmkj	pmj
f	ftnhplq	tnhplq
w	dlwq	dlq
m	zmflxcdg	zflxcdg
q	drpqw	drpw
w	qjhdwsbtv	qjhdsbtv
m	nlcftxrwhm	nlcftxrwh
t	tmlzbcd	mlzbcd
f	zsfw	zsw
h	qwtxmh	qwtxm
v	vkjbpwgxfzhcd	kjbpwgxfzhcd
n	lcgsbknjw	lcgsbkjw
c	zclfmh	zlfmh
d	qdjcx	qjcx
s	hfcjsbw	hfcjbw
k	mzqktf	mzqtf
s	cps	cp
b	gkfljb	gkflj
h	qwhvjcz	qwvjcz
k	kspb	spb
h	hzp	zp
h	hmknv	mknv
r	qslcdrf	qslcdf
r	brsw	bsw
b	vrtxdlhb	vrtxdlh
f	bhflvmnxk	bhlvmnxk
t	tmhj	mhj
s	nhkgfqs	nhkgfq
p	wsmkpdr	wsmkdr
b	jkbhsmczqvw	jkhsmczqvw
d	pdzg	pzg
b	bjwdmf	jwdmf
p	kjxwzbph	kjxwzbh
q	qftcd	ftcd
c	ndc	nd
s	vrbfjms	vrbfjm
c	dcrgz	drgz
t	msnktjg	msnkjg
n	nkhtg	khtg
f	jdglbf	jdglb
q	fkhqs	fkhs
l	nvmldxrs	nvmdxrs
r	gvrctjn	gvctjn
g	rgpn	rpn
n	nfv	fv
n	fmnxcb	fmxcb
s	skd	kd
f	xwfmbsjlkv	xwmbsjlkv
v	fkvlrd	fklrd
q	tgwdq	tgwd
z	zhkn	hkn
w	zwf	zf
n	nzm	zm
s	ckhjdns	ckhjdn
z	wcrkjzh	wcrkjh
n	hdvlnsg	hdvlsg
b	jdzqgrxlb	jdzqgrxl
m	jwgxm	jwgx
t	whcqtnml	whcqnml
g	dghjz	dhjz
t	btrcs	brcs
z	zmpr	mpr
z	cxjvpzg	cxjvpg
d	csdnfqk	csnfqk
x	phx	ph
c	hdcnvlpgmzx	hdnvlpgmzx
x	zhcx	zhc
r	rpms	pms
j	jftrkd	ftrkd
d	fdgkrbjs	fgkrbjs
g	rjtfcwvg	rjtfcwv
h	clwh	clw
c	dxzckjgs	dxzkjgs
d	rwgtdkc	rwgtkc
k	jkm	jm
b	kdbm	kdm
x	kxlprbv	klprbv
h	shdc	sdc
g	tgfjbhprv	tfjbhprv
f	fkpbvx	kpbvx
t	kpltgn	kplgn
g	sng	sn
k	ngskdf	ngsdf
v	szvlqp	szlqp
q	cbqwph	cbwph
d	wjdnpx	wjnpx
q	rczptqwfl	rczptwfl
k	cpdrvntwbk	cpdrvntwb
d	blqkphmrwdt	blqkphmrwt
z	gsbzrqh	gsbrqh
t	thqlgwsn	hqlgwsn
l	txnlzrqg	txnzrqg
d	pzdjr	pzjr
m	ntmbc	ntbc
r	rdx	dx
g	wmhgx	wmhx
x	cqsghxnkj	cqsghnkj
m	mtbcqn	tbcqn
n	tnxsk	txsk
t	bgt	bg
s	lshb	lhb
j	xctmrkjsv	xctmrksv
r	rflqh	flqh
c	jhcpb	jhpb
b	hbpsq	hpsq
r	npfjbrxh	npfjbxh
q	hpfcskq	hpfcsk
j	dkwcjnrtgspq	dkwcnrtgspq
j	xdmjlq	xdmlq
v	vnc	nc
g	sbfgnqlp	sbfnqlp
w	sdwt	sdt
n	jkqnd	jkqd
j	tbfvkdpj	tbfvkdp
j	njlq	nlq
v	vjb	jb
q	mpqtljx	mptljx
c	gwcl	gwl
s	wjsdcxn	wjdcxn
f	nqfjczd	nqjczd
n	fjdkn	fjdk
m	hjmzv	hjzv
m	txbdm	txbd
r	mbfkrzc	mbfkzc
l	mlzqj	mzqj
h	phjrwk	pjrwk
t	xczqrdvhjtwp	xczqrdvhjwp
p	ctp	ct
z	zkxjm	kxjm
n	sncg	scg
t	rqtm	rqm
n	ndgsfqw	dgsfqw
k	gnkz	gnz
l	flhrdxg	fhrdxg
c	tjlc	tjl
f	dfns	dns
f	zgwjf	zgwj
c	nzlc	nzl
m	jpzbm	jpzb
t	xctqfn	xcqfn
s	xvmbtsd	xvmbtd
b	vmnjbq	vmnjq
l	xlc	xc
f	qkftbsmrhv	qktbsmrhv
t	htxr	hxr
d	dkmv	kmv
d	kwmd	kwm
l	mwlch	mwch
q	dzqjhbw	dzjhbw
l	mlkp	mkp
q	qlrmcxpz	lrmcxpz
x	nxrjpd	nrjpd
g	wcngtqj	wcntqj
z	zpfl	pfl
f	dltfcrmz	dltcrmz
f	vfbm	vbm
l	dlbw	dbw
m	xmvcbhj	xvcbhj
z	bgnrcz	bgnrc
r	wgtr	wgt
p	fpgw	fgw
d	svd	sv
r	rwmctgqk	wmctgqk
z	jkwzqd	jkwqd
t	ktdcmshg	kdcmshg
p	cvpjrt	cvjrt
x	xsclp	sclp
q	wpnlqbhcz	wpnlbhcz
n	fmgscn	fmgsc
p	zhcwdpv	zhcwdv
j	rkjnbv	rknbv
s	lqkcs	lqkc
q	cwgnvdqr	cwgnvdr
v	nlrv	nlr
r	rbtplx	btplx
s	fslc	flc
d	bvrd	bvr
v	kfmrlv	kfmrl
r	kfqhzbgcpr	kfqhzbgcp
h	bfqhk	bfqk
g	hgflwcs	hflwcs
s	pjslm	pjlm
t	twsbv	wsbv
f	qft	qt
m	cdqwmhrlgx	cdqwhrlgx
k	qcpkrjgfxz	qcprjgfxz
g	lgbhw	lbhw
h	nqhxtf	nqxtf
v	svrz	srz
n	znfjs	zfjs
j	qhnjgfldkzw	qhngfldkzw
n	qxktnvrg	qxktvrg
h	vldpzh	vldpz
b	drqxlgvbt	drqxlgvt
h	hlgxvmbsrd	lgxvmbsrd
v	sxvhqtnm	sxhqtnm
b	rbxsvn	rxsvn
f	nqbwhdfvs	nqbwhdvs
b	knzrxbvg	knzrxvg
f	shlfw	shlw
l	mlvftz	mvftz
c	qjc	qj
x	pxfv	pfv
q	cbrpqjdkz	cbrpjdkz
b	frxdbwzgnhts	frxdwzgnhts
t	mtcg	mcg
s	cjkbvpsrdz	cjkbvprdz
z	kqzwh	kqwh
m	mpns	pns
x	jhlkcxv	jhlkcv
t	stjpfq	sjpfq
g	gncdmtz	ncdmtz
j	fgmdjws	fgmdws
f	vhcrf	vhcr
k	lmckjrvwfp	lmcjrvwfp
t	csfvlbtp	csfvlbp
g	gbxd	bxd
l	qvls	qvs
h	pzmvhs	pzmvs
f	tfsqrhx	tsqrhx
j	rwjzq	rwzq
d	zdngltks	zngltks
d	dtlsm	tlsm
n	stnh	sth
j	qvtzpjgx	qvtzpgx
s	vjkfsz	vjkfz
t	srldhnt	srldhn
r	dlprb	dlpb
l	blks	bks
d	jgbsd	jgbs
f	jhsf	jhs
z	rkmgznfjltd	rkmgnfjltd
s	zqskgbw	zqkgbw
g	gdfspq	dfspq
b	lkbrx	lkrx
g	dgsn	dsn
g	rxgmfdnq	rxmfdnq
z	lbxhtgz	lbxhtg
p	kfqp	kfq
g	rpzqgc	rpzqc
w	wxnt	xnt
r	rdkjp	dkjp
f	frxkcq	rxkcq
z	fzdtxjhlg	fdtxjhlg
n	qndzb	qdzb
l	kzplj	kzpj
t	tqvs	qvs
l	blkxj	bkxj
k	lsntkzwqd	lsntzwqd
q	gqrsnf	grsnf
j	gtlqkj	gtlqk
d	ldjgqn	ljgqn
n	vqhznwjk	vqhzwjk
g	dhpmxgtvw	dhpmxtvw
r	ghrcqw	ghcqw
t	bdhzptxq	bdhzpxq
l	srxlphmj	srxphmj
l	lzxfdrtm	zxfdrtm
x	fdxsrk	fdsrk
h	vkhnlxpdt	vknlxpdt
s	jsrl	jrl
w	tksgnzw	tksgnz
x	xwlm	wlm
q	hwkqnd	hwknd
r	wtjfcprg	wtjfcpg
l	bwglc	bwgc
m	ckmhp	ckhp
m	qxmkc	qxkc
d	qndbvtz	qnbvtz
q	qztpx	ztpx
v	zvjh	zjh
m	gfsvrbxmq	gfsvrbxq
k	mksw	msw
d	dtsj	tsj
t	zxtws	zxws
k	kbnvzfxg	bnvzfxg
z	wstnjz	wstnj
c	wnxgqct	wnxgqt
m	glnmjfk	glnjfk
k	lkhqxmvd	lhqxmvd
k	wkxsjlzgp	wxsjlzgp
r	rbk	bk
r	fvr	fv
x	xhwbpn	hwbpn
w	mwprfxtck	mprfxtck
s	lsmjztnk	lmjztnk
z	nzrhgpcmf	nrhgpcmf
h	hjsfptb	jsfptb
p	pdxm	dxm
d	dkgs	kgs
m	nrqzlhstwpkxm	nrqzlhstwpkx
x	pxfqkml	pfqkml
q	pjzwq	pjzw
l	jlqwgv	jqwgv
x	pjldmwx	pjldmw
j	qwjkv	qwkv
r	vgpcr	vgpc
k	wbhkm	wbhm
p	cbxpd	cbxd
x	mbtxk	mbtk
g	npgh	nph
l	flzbqr	fzbqr
n	vqgrtn	vqgrt
v	xqcvsmnphgdf	xqcsmnphgdf
x	zxrqkc	zrqkc
s	cmfndts	cmfndt
c	cfts	fts
m	mqdg	qdg
s	fvmsjc	fvmjc
w	cqprw	cqpr
p	mnvwps	mnvws
v	dnpv	dnp
d	lhqbjd	lhqbj
h	qhcfjlvk	qcfjlvk
j	cbvjqlhz	cbvqlhz
q	mbrq	mbr
v	zxjslcvg	zxjslcg
b	nbzt	nzt
w	wkqn	kqn
f	mxflrgc	mxlrgc
d	qdpgnl	qpgnl
t	vkthp	vkhp
q	gxjq	gxj
p	hnzkgswpbd	hnzkgswbd
w	gzrfbwn	gzrfbn
h	hvn	vn
n	mnfdw	mfdw
j	zrgxtblhkj	zrgxtblhk
q	plqtfwg	pltfwg
b	zkqhbwgs	zkqhwgs
m	cmgf	cgf
r	rbmdhwq	bmdhwq
x	vwxmcb	vwmcb
n	snhc	shc
h	hdwzc	dwzc
k	xjvlqdkr	xjvlqdr
s	cswr	cwr
z	zlqrdfsj	lqrdfsj
h	hnjgfrx	njgfrx
h	mkldjfzbsnwgth	mkldjfzbsnwgt
x	kxs	ks
w	xbkmfwhjt	xbkmfhjt
j	fhjtd	fhtd
n	sbtrn	sbtr
r	pmfsrl	pmfsl
d	rjd	rj
z	zbhfq	bhfq
r	hcmvrf	hcmvf
j	xdphjgzl	xdphgzl
d	kpsdm	kpsm
w	qwft	qft
z	htcvfgzwj	htcvfgwj
p	gkbhp	gkbh
l	nxfzhlcjds	nxfzhcjds
w	jqmbwxck	jqmbxck
v	rhqdkv	rhqdk
l	xpwmlqbj	xpwmqbj
r	hrbltm	hbltm
d	qfcwnd	qfcwn
g	nflpg	nflp
f	zcpvfbk	zcpvbk
t	htjn	hjn
d	mprtdlzc	mprtlzc
j	njhrzvt	nhrzvt
k	kmwdlrhpf	mwdlrhpf
w	xgjbwdzlv	xgjbdzlv
m	psdwmlt	psdwlt
