input1	input2	label
m	students	No
h	shopping	Yes
w	account	No
o	times	No
g	sites	No
p	level	No
y	digital	No
e	profile	Yes
u	previous	Yes
m	form	Yes
l	events	No
e	love	Yes
q	old	No
o	john	Yes
s	main	No
c	call	Yes
b	hours	No
g	image	Yes
m	department	Yes
t	title	Yes
w	description	No
o	non	Yes
u	insurance	Yes
a	another	Yes
d	why	No
g	shall	No
i	property	No
s	class	Yes
h	still	No
n	money	Yes
e	quality	No
s	every	No
t	listing	Yes
l	content	No
f	country	No
i	private	Yes
l	little	Yes
f	visit	No
y	save	No
l	tools	Yes
l	low	Yes
t	reply	No
m	customer	Yes
c	december	Yes
f	compare	No
g	movies	No
h	include	No
c	college	Yes
l	value	Yes
o	article	No
q	york	No
o	man	No
l	card	No
b	jobs	Yes
a	provide	No
v	food	No
c	source	Yes
l	author	No
y	different	No
s	press	Yes
z	learn	No
w	sale	No
o	around	Yes
p	print	Yes
u	course	Yes
j	job	Yes
c	canada	Yes
z	process	No
t	teen	Yes
g	room	No
o	stock	Yes
d	training	No
u	too	No
n	credit	No
u	point	No
u	join	No
u	science	No
n	men	Yes
b	categories	No
g	advanced	No
l	west	No
a	sales	Yes
q	look	No
s	english	Yes
f	left	Yes
e	team	Yes
i	estate	No
b	box	Yes
y	conditions	No
o	select	No
e	windows	No
t	photos	Yes
m	gay	No
n	thread	No
h	week	No
s	category	No
j	note	No
i	live	Yes
r	large	Yes
w	gallery	No
h	table	No
r	register	Yes
h	however	Yes
e	june	Yes
b	october	Yes
v	november	Yes
k	market	Yes
r	library	Yes
f	really	No
d	action	No
w	start	No
i	series	Yes
r	model	No
e	features	Yes
j	air	No
s	industry	Yes
k	plan	No
p	human	No
g	provided	No
s	yes	Yes
a	required	No
n	second	Yes
v	hot	No
y	accessories	No
v	cost	No
s	movie	No
r	forums	Yes
m	march	Yes
t	september	Yes
e	better	Yes
a	say	Yes
o	questions	Yes
i	july	No
a	yahoo	Yes
p	going	No
e	medical	Yes
o	test	No
o	friend	No
m	come	Yes
e	dec	Yes
x	server	No
a	study	No
m	application	No
a	cart	Yes
s	staff	Yes
c	articles	Yes
s	san	Yes
w	feedback	No
r	again	No
l	play	Yes
u	looking	No
p	issues	No
k	april	No
n	never	Yes
h	users	No
f	complete	No
b	street	No
e	topic	No
t	comment	Yes
a	financial	Yes
d	things	No
o	working	Yes
a	against	Yes
r	standard	Yes
a	tax	Yes
p	person	Yes
l	below	Yes
l	mobile	Yes
o	less	No
t	got	Yes
y	blog	No
t	party	Yes
v	payment	No
f	equipment	No
n	login	Yes
e	student	Yes
s	let	No
u	programs	No
u	offers	No
q	legal	No
p	above	No
i	recent	No
k	park	Yes
j	stores	No
v	side	No
c	act	Yes
x	problem	No
w	red	No
a	give	No
y	memory	Yes
w	performance	No
r	social	No
a	august	Yes
t	quote	Yes
e	language	Yes
d	story	No
l	sell	Yes
k	options	No
r	experience	Yes
u	rates	No
k	create	No
e	key	Yes
x	body	No
w	young	No
z	america	No
l	important	No
f	field	Yes
q	few	No
a	east	Yes
a	paper	Yes
x	single	No
g	age	Yes
t	activities	Yes
c	club	Yes
a	example	Yes
g	girls	Yes
k	additional	No
s	password	Yes
n	latest	No
i	something	Yes
y	road	No
o	gift	No
t	question	Yes
g	changes	Yes
q	night	No
t	hard	No
z	texas	No
w	oct	No
s	pay	No
m	four	No
i	poker	No
h	status	No
b	browse	Yes
d	issue	No
l	range	No
r	building	No
r	seller	Yes
c	court	Yes
z	february	No
n	always	No
f	result	No
o	audio	Yes
p	light	No
j	write	No
a	war	Yes
v	nov	Yes
o	offer	Yes
t	blue	No
i	groups	No
v	easy	No
b	given	No
q	files	No
t	event	Yes
a	release	Yes
l	analysis	Yes
e	request	Yes
b	fax	No
f	china	No
i	making	Yes
q	picture	No
n	needs	Yes
o	possible	Yes
t	might	Yes
o	professional	Yes
x	yet	No
p	month	No
w	major	No
p	star	No
m	areas	No
n	future	No
p	space	Yes
i	committee	Yes
h	hand	Yes
x	sun	No
c	cards	Yes
d	problems	No
l	london	Yes
o	washington	Yes
v	meeting	No
s	rss	Yes
b	become	Yes
s	interest	Yes
h	child	Yes
g	keep	No
m	enter	No
r	california	Yes
n	porn	Yes
h	share	Yes
f	similar	No
j	garden	No
a	schools	No
y	million	No
w	added	No
w	reference	No
z	companies	No
j	listed	No
f	baby	No
y	learning	No
x	energy	No
r	run	Yes
g	delivery	No
t	net	Yes
s	popular	No
e	term	Yes
m	film	Yes
w	stories	No
u	put	Yes
t	computers	Yes
y	journal	No
w	reports	No
l	try	No
e	welcome	Yes
o	central	No
g	images	Yes
p	president	Yes
m	notice	No
g	god	Yes
n	original	Yes
c	head	No
o	radio	Yes
t	until	Yes
u	cell	No
f	color	No
s	self	Yes
l	council	Yes
a	away	Yes
a	includes	No
z	track	No
x	australia	No
b	discussion	No
i	archive	Yes
n	once	Yes
u	others	No
a	entertainment	Yes
z	agreement	No
v	format	No
e	least	Yes
t	society	Yes
o	months	Yes
o	log	Yes
w	safety	No
i	friends	Yes
c	sure	No
z	faq	No
n	trade	No
m	edition	No
b	cars	No
m	messages	Yes
w	marketing	No
t	tell	Yes
r	further	Yes
h	updated	No
i	association	Yes
c	able	No
h	having	Yes
b	provides	No
i	david	Yes
r	fun	No
u	already	No
l	green	No
c	studies	No
x	close	No
n	common	Yes
o	drive	No
c	specific	Yes
v	several	Yes
g	gold	Yes
b	feb	Yes
n	living	Yes
a	sep	No
l	collection	Yes
m	called	No
z	short	No
s	arts	Yes
j	lot	No
k	ask	Yes
p	display	Yes
t	limited	Yes
t	powered	No
r	solutions	No
e	means	Yes
y	director	No
d	daily	Yes
u	beach	No
a	past	Yes
l	natural	Yes
t	whether	Yes
w	due	No
k	electronics	No
e	five	Yes
p	upon	Yes
l	period	No
l	planning	Yes
e	database	Yes
l	says	No
b	official	No
a	weather	Yes
a	mar	Yes
l	land	Yes
v	average	Yes
n	done	Yes
p	technical	No
w	window	Yes
n	france	Yes
o	pro	Yes
w	region	No
j	island	No
p	record	No
d	direct	Yes
o	microsoft	Yes
r	conference	Yes
q	environment	No
c	records	Yes
z	district	No
j	calendar	No
t	costs	Yes
t	style	Yes
f	url	No
f	front	Yes
o	statement	No
m	update	No
t	parts	Yes
p	aug	No
i	ever	No
g	downloads	No
e	early	Yes
l	miles	Yes
w	sound	No
g	resource	No
k	present	No
k	applications	No
r	either	Yes
v	ago	No
x	document	No
m	word	No
s	works	Yes
p	material	No
v	bill	No
a	apr	Yes
x	written	No
p	talk	No
y	federal	No
a	hosting	No
i	rules	No
p	final	No
j	adult	No
p	tickets	No
i	thing	Yes
q	centre	No
u	requirements	Yes
l	via	No
a	cheap	Yes
f	nude	No
i	kids	Yes
n	finance	Yes
e	true	Yes
m	minutes	Yes
l	else	Yes
c	mark	No
n	third	No
r	rock	Yes
q	gifts	No
h	europe	No
b	reading	No
p	topics	Yes
j	bad	No
g	individual	No
z	tips	No
x	plus	No
y	auto	No
v	cover	Yes
a	usually	Yes
d	edit	Yes
t	together	Yes
d	videos	Yes
n	percent	Yes
s	fast	Yes
m	function	No
y	fact	No
l	unit	No
m	getting	No
a	global	Yes
c	tech	Yes
e	meet	Yes
f	far	Yes
h	economic	No
a	player	Yes
d	projects	No
s	lyrics	Yes
o	often	Yes
u	subscribe	Yes
u	submit	Yes
g	germany	Yes
i	amount	No
t	watch	Yes
r	included	No
a	feel	No
g	though	Yes
z	bank	No
z	risk	No
l	thanks	No
t	everything	Yes
q	deals	No
t	various	No
u	words	No
l	linux	Yes
f	jul	No
l	production	No
p	commercial	No
s	james	Yes
k	weight	No
d	town	No
r	heart	Yes
e	advertising	Yes
i	received	Yes
o	choose	Yes
k	treatment	No
b	newsletter	No
b	archives	No
t	points	Yes
d	knowledge	Yes
m	magazine	Yes
p	error	No
r	camera	Yes
e	jun	No
d	girl	No
t	currently	Yes
m	construction	No
l	toys	No
r	registered	Yes
g	clear	No
h	golf	No
o	receive	No
h	domain	No
t	methods	Yes
c	chapter	Yes
z	makes	No
d	protection	No
g	policies	No
j	loan	No
x	wide	No
p	beauty	No
f	manager	No
n	india	Yes
s	position	Yes
t	taken	Yes
z	sort	No
i	listings	Yes
q	models	No
v	michael	No
a	known	No
f	half	Yes
x	cases	No
p	step	Yes
n	engineering	Yes
g	florida	No
z	simple	No
r	quick	No
o	none	Yes
l	wireless	Yes
e	license	Yes
q	paul	No
r	friday	Yes
w	lake	No
w	whole	Yes
l	annual	Yes
s	published	Yes
e	later	Yes
i	basic	Yes
g	sony	No
h	shows	Yes
p	corporate	Yes
l	google	Yes
h	church	Yes
n	method	No
h	purchase	Yes
o	customers	Yes
c	active	Yes
w	response	No
j	practice	No
o	hardware	No
g	figure	Yes
t	materials	Yes
i	fire	Yes
w	holiday	No
c	chat	Yes
l	enough	No
t	designed	No
m	along	No
o	among	Yes
h	death	Yes
g	writing	Yes
z	speed	No
t	html	Yes
v	countries	No
j	loss	No
r	face	No
p	brand	No
m	discount	No
z	higher	No
w	effects	No
w	created	No
x	remember	No
d	standards	Yes
l	oil	Yes
v	bit	No
l	yellow	Yes
q	political	No
v	increase	No
r	advertise	Yes
d	kingdom	Yes
s	base	Yes
r	near	Yes
t	environmental	Yes
o	thought	Yes
h	stuff	No
c	french	Yes
x	storage	No
p	japan	Yes
d	doing	Yes
s	loans	Yes
e	shoes	Yes
t	entry	Yes
h	stay	No
a	nature	Yes
i	orders	No
y	availability	Yes
z	africa	No
r	summary	Yes
u	turn	Yes
n	mean	Yes
b	growth	No
n	notes	Yes
f	agency	No
z	king	No
y	monday	Yes
b	european	No
e	activity	No
v	copy	No
n	although	No
u	drug	Yes
s	pics	Yes
s	western	Yes
a	income	No
c	force	Yes
s	cash	Yes
z	employment	No
a	overall	Yes
s	bay	No
i	river	Yes
c	commission	Yes
i	package	No
a	contents	No
s	seen	Yes
w	players	No
e	engine	Yes
e	port	No
l	album	Yes
i	regional	Yes
d	stop	No
c	supplies	No
a	started	Yes
c	administration	No
b	bar	Yes
m	institute	No
p	views	No
r	plans	No
d	double	Yes
c	dog	No
y	build	No
x	screen	No
q	exchange	No
y	types	Yes
a	soon	No
e	sponsored	Yes
i	lines	Yes
o	electronic	Yes
n	continue	Yes
p	across	No
u	benefits	No
k	needed	No
b	season	No
a	apply	Yes
f	someone	No
l	held	Yes
w	anything	No
q	printer	No
d	condition	Yes
c	effective	Yes
y	believe	No
