input1	input2	input3	label
e	s	jsxdbnzm	jsexdbnzm
y	t	tpxkvqr	typxkvqr
w	j	hpjx	hpjwx
s	s	zjgkcqs	zjgkcqss
g	w	jlbkwxrq	jlbkwgxrq
t	z	ghzsxf	ghztsxf
f	z	mrhlczp	mrhlczfp
k	w	bvwfsd	bvwkfsd
y	n	xwnfrs	xwnyfrs
s	j	qjgwh	qjsgwh
x	r	sclgkr	sclgkrx
f	j	jlmzd	jflmzd
b	p	vrpftqmb	vrpbftqmb
d	x	fxt	fxdt
k	l	rckxjzwl	rckxjzwlk
n	s	tpsl	tpsnl
y	z	fcphz	fcphzy
p	n	rvlmpcng	rvlmpcnpg
r	x	xtw	xrtw
z	l	svctnlfj	svctnlzfj
a	s	jncwrs	jncwrsa
u	s	srk	surk
j	w	qtdkjbmswfl	qtdkjbmswjfl
e	g	zkgb	zkgeb
r	l	hbljs	hblrjs
m	n	vnfqst	vnmfqst
v	s	pwqcs	pwqcsv
i	l	rhdblksnw	rhdbliksnw
s	r	cbwlvr	cbwlvrs
u	s	sdt	sudt
m	x	sxphqcbjz	sxmphqcbjz
j	w	swlg	swjlg
r	r	cwlrv	cwlrrv
f	t	sphvt	sphvtf
q	x	flxzwtd	flxqzwtd
e	k	gkfp	gkefp
j	b	nlczbv	nlczbjv
e	l	fldr	fledr
r	q	qpf	qrpf
l	z	lxwtvz	lxwtvzl
e	m	mnklx	menklx
c	q	tgqhnxdmzck	tgqchnxdmzck
r	c	cthk	crthk
d	k	drtpk	drtpkd
c	g	phmgztdl	phmgcztdl
v	n	pnv	pnvv
c	k	kpnjvdqt	kcpnjvdqt
k	b	nbzpk	nbkzpk
d	m	zmkl	zmdkl
a	p	hfdgvrp	hfdgvrpa
m	p	wnhsqp	wnhsqpm
j	b	wrxkb	wrxkbj
o	p	vlpmw	vlpomw
u	q	sqnpx	squnpx
n	d	mgcdlqrv	mgcdnlqrv
h	v	flptvg	flptvhg
u	h	mqhzr	mqhuzr
j	b	mrqbjkp	mrqbjjkp
h	m	hgjrbvmkz	hgjrbvmhkz
o	n	tsnkhm	tsnokhm
b	w	lxwsjkb	lxwbsjkb
t	m	kxjhmzc	kxjhmtzc
k	s	vzxdqljs	vzxdqljsk
b	v	jvz	jvbz
y	g	zxqrgn	zxqrgyn
b	j	tjwsn	tjbwsn
i	h	jcgqmh	jcgqmhi
q	s	dtsx	dtsqx
w	j	jcd	jwcd
g	f	sfzv	sfgzv
n	b	cvbzm	cvbnzm
j	g	fvmkcgl	fvmkcgjl
t	c	mchdkrvxj	mcthdkrvxj
o	x	czxsw	czxosw
i	p	gqhkpxz	gqhkpixz
q	c	crg	cqrg
m	d	wdqvfpcs	wdmqvfpcs
s	b	lbqdzw	lbsqdzw
b	f	kzwnf	kzwnfb
g	q	qrtnk	qgrtnk
b	w	wjkvlb	wbjkvlb
k	t	tchw	tkchw
c	h	pwsjch	pwsjchc
o	k	xkdg	xkodg
f	s	scd	sfcd
z	v	pvxrnld	pvzxrnld
b	c	tkc	tkcb
v	q	kmrq	kmrqv
e	q	crgnvq	crgnvqe
w	b	nxlqwvpbrkg	nxlqwvpbwrkg
l	k	khfswv	klhfswv
f	q	ndljqv	ndljqfv
z	d	dxfmz	dzxfmz
h	v	vbspjchk	vhbspjchk
h	n	tmrnx	tmrnhx
k	l	xmjl	xmjlk
d	h	gchpzlb	gchdpzlb
j	m	mdsbxjglpw	mjdsbxjglpw
p	t	nvgth	nvgtph
q	v	nkqvjt	nkqvqjt
h	t	ktc	kthc
q	z	ldzp	ldzqp
x	j	dfwlj	dfwljx
j	w	fnjslzw	fnjslzwj
u	g	dwczsmtgv	dwczsmtguv
v	p	rtpwx	rtpvwx
x	n	nfh	nxfh
b	s	csmv	csbmv
m	x	vlnjx	vlnjxm
k	v	jsvgpm	jsvkgpm
z	w	pvw	pvwz
w	l	cdwvqlhkzm	cdwvqlwhkzm
z	l	zlhd	zlzhd
t	p	plmjzhf	ptlmjzhf
e	s	hjlks	hjlkse
a	w	sdjtfpcwgn	sdjtfpcwagn
j	g	nxcprgdl	nxcprgjdl
s	p	xbsplh	xbspslh
t	k	lxgvkwpbq	lxgvktwpbq
b	j	njxr	njbxr
y	h	jrhg	jrhyg
t	p	mdpthgrv	mdptthgrv
b	x	zvxqkst	zvxbqkst
p	b	qfrlb	qfrlbp
u	j	gjdc	gjudc
q	k	dxknq	dxkqnq
q	p	xpl	xpql
c	d	dvq	dcvq
c	p	rtlp	rtlpc
l	t	jwntg	jwntlg
j	w	hcxbwp	hcxbwjp
s	h	nsqfkh	nsqfkhs
y	j	xmhsj	xmhsjy
c	g	tzgsx	tzgcsx
d	v	jdxtfvpk	jdxtfvdpk
y	t	sjkqtz	sjkqtyz
x	q	cqdwl	cqxdwl
p	b	bshvrngw	bpshvrngw
l	k	dksqhf	dklsqhf
j	m	pfvmzw	pfvmjzw
y	w	bclrw	bclrwy
f	v	gdlhv	gdlhvf
q	r	prvgl	prqvgl
u	j	jpd	jupd
r	j	jnl	jrnl
j	j	djkrp	djjkrp
d	x	whkx	whkxd
h	d	kdjzwq	kdhjzwq
q	q	tnqr	tnqqr
z	c	dczgl	dczzgl
r	n	plkfn	plkfnr
u	d	qvdtz	qvdutz
y	s	wctsznb	wctsyznb
p	c	cwvrhknt	cpwvrhknt
d	q	hgfqtwz	hgfqdtwz
q	q	qsw	qqsw
w	l	qgmlc	qgmlwc
w	m	mnhrqp	mwnhrqp
v	n	ntxphqw	nvtxphqw
r	f	rdpfb	rdpfrb
s	v	kzhdcqvw	kzhdcqvsw
n	j	gjzmr	gjnzmr
v	p	vrkfbpxjghln	vrkfbpvxjghln
y	r	rmh	rymh
m	f	vwfsr	vwfmsr
i	v	vpwqr	vipwqr
q	k	kxtg	kqxtg
z	m	qfmkn	qfmzkn
m	t	tdlwqs	tmdlwqs
q	b	spdbg	spdbqg
g	k	wgkcmtvbn	wgkgcmtvbn
g	v	wvfk	wvgfk
l	j	jbl	jlbl
z	z	zmxft	zzmxft
r	q	nfhsjlbq	nfhsjlbqr
r	g	sjxwkg	sjxwkgr
g	x	jmxtldpqbr	jmxgtldpqbr
f	d	gctdszk	gctdfszk
f	p	zpm	zpfm
t	s	szptdq	stzptdq
v	r	tvscwnqr	tvscwnqrv
b	p	sctxp	sctxpb
j	z	sxkz	sxkzj
u	p	spgwn	spugwn
a	h	bgfhnvswtj	bgfhanvswtj
y	z	jlzx	jlzyx
o	d	lvndp	lvndop
h	l	pmkhlqx	pmkhlhqx
n	q	svfpqt	svfpqnt
z	p	pbrmvzt	pzbrmvzt
y	x	fqwsxcp	fqwsxycp
g	z	znxfk	zgnxfk
a	h	qwdgrxhmc	qwdgrxhamc
w	w	sbqnxjwpm	sbqnxjwwpm
a	x	vcxdfp	vcxadfp
i	h	hljm	hiljm
a	d	lcdgqrwz	lcdagqrwz
c	q	zqgvtr	zqcgvtr
c	p	gbp	gbpc
y	r	rbsdqthm	rybsdqthm
g	p	bpt	bpgt
n	f	zfhgkwd	zfnhgkwd
f	p	prhl	pfrhl
j	t	twlr	tjwlr
i	m	wgmhzvr	wgmihzvr
u	c	fnc	fncu
t	h	zbdnmshql	zbdnmshtql
d	d	jsmhkfd	jsmhkfdd
u	g	rxdgthp	rxdguthp
d	m	qxm	qxmd
a	z	gfvcpzm	gfvcpzam
u	p	cxqlgmp	cxqlgmpu
x	s	hkdrsg	hkdrsxg
b	l	gsbtrlnkj	gsbtrlbnkj
z	s	sxrnfj	szxrnfj
l	v	ctv	ctvl
h	p	npdrgmwz	nphdrgmwz
f	l	vlcz	vlfcz
o	c	wblgc	wblgco
e	h	hwbmc	hewbmc
j	v	zmvd	zmvjd
a	x	nmbxp	nmbxap
r	z	qdhz	qdhzr
d	c	qwzpcfr	qwzpcdfr
n	q	fzqs	fzqns
d	v	vlqmdrng	vdlqmdrng
v	s	twlsv	twlsvv
g	s	csjmrbtqd	csgjmrbtqd
t	d	hdngcwsrzb	hdtngcwsrzb
x	d	xrvdmcs	xrvdxmcs
b	b	sbfr	sbbfr
d	k	jfnbkh	jfnbkdh
l	t	wmzpdnjstrlgh	wmzpdnjstlrlgh
y	w	gwrmqphxk	gwyrmqphxk
e	j	wkvrzj	wkvrzje
a	r	rfqzx	rafqzx
k	g	gzqhksw	gkzqhksw
z	x	jtxwqk	jtxzwqk
n	b	dgb	dgbn
d	s	swzclj	sdwzclj
q	s	vkzsdhj	vkzsqdhj
q	l	dlhz	dlqhz
p	z	czj	czpj
g	t	twlkf	tgwlkf
q	r	zjrlkxp	zjrqlkxp
p	t	mvpt	mvptp
c	p	qfvnxptk	qfvnxpctk
k	q	pwgdscqfh	pwgdscqkfh
d	c	fjcr	fjcdr
r	k	nzxfpqk	nzxfpqkr
l	z	jctzrkq	jctzlrkq
w	c	frqvjknzdpc	frqvjknzdpcw
i	z	vgnz	vgnzi
u	v	qjrvkw	qjrvukw
q	g	pncvfxkg	pncvfxkgq
w	n	wnlmk	wnwlmk
u	k	pks	pkus
w	w	wjtpghq	wwjtpghq
y	g	gqwms	gyqwms
e	m	gpqwmjb	gpqwmejb
s	k	kcdxg	kscdxg
o	p	bmrdkp	bmrdkpo
i	x	gfskx	gfskxi
c	z	gcbzjrlh	gcbzcjrlh
s	r	rzdxvcg	rszdxvcg
a	g	qbtg	qbtga
m	j	jmh	jmmh
a	x	ztksbx	ztksbxa
t	j	sjc	sjtc
p	s	wtvkgxsrcj	wtvkgxsprcj
t	d	xszdcn	xszdtcn
p	m	gtmsc	gtmpsc
s	s	msdb	mssdb
q	p	sfp	sfpq
o	h	hsv	hosv
k	r	dfjgbrz	dfjgbrkz
w	l	lnbfkgs	lwnbfkgs
w	f	sdwpqfl	sdwpqfwl
k	q	ncqtldhps	ncqktldhps
y	w	zkcvw	zkcvwy
f	p	bnsfzdkp	bnsfzdkpf
u	f	pltvf	pltvfu
b	r	drzmk	drbzmk
m	m	gbrm	gbrmm
c	r	qpldrbc	qpldrcbc
n	w	kcmdbrw	kcmdbrwn
n	r	srx	srnx
t	k	mtkcsqhlbxn	mtktcsqhlbxn
m	c	qcvt	qcmvt
x	j	hfjv	hfjxv
i	t	hfgsjt	hfgsjti
b	h	kctmvhzf	kctmvhbzf
p	v	mpvnlgzb	mpvpnlgzb
v	f	bfhp	bfvhp
c	j	dpfxkjlv	dpfxkjclv
t	b	dtspxbm	dtspxbtm
w	b	bwd	bwwd
e	c	lfcx	lfcex
s	n	hgnlsqd	hgnslsqd
c	c	xcgr	xccgr
c	r	trwmkqblz	trcwmkqblz
l	x	cnrhmx	cnrhmxl
u	j	fwdkjc	fwdkjuc
y	c	fhc	fhcy
f	t	tfjrxg	tffjrxg
j	w	xrvlwg	xrvlwjg
a	r	rxvzhk	raxvzhk
p	v	lxfcvr	lxfcvpr
b	n	nwtsxcqdz	nbwtsxcqdz
k	p	vdcfmwgjnp	vdcfmwgjnpk
j	z	slrnzjthbcv	slrnzjjthbcv
k	t	tpbmxsr	tkpbmxsr
n	w	lpcxdwhm	lpcxdwnhm
v	n	bsgjwntq	bsgjwnvtq
z	r	zqcxr	zqcxrz
b	h	ksqlh	ksqlhb
b	l	ljv	lbjv
f	z	kbmzq	kbmzfq
i	c	jhldtcxvk	jhldtcixvk
v	c	flxkjc	flxkjcv
m	q	tpbqc	tpbqmc
y	z	zpv	zypv
u	t	tpql	tupql
t	t	mkgrwdqnt	mkgrwdqntt
a	x	vxzjh	vxazjh
w	v	mvgcd	mvwgcd
w	q	fgmnq	fgmnqw
c	f	wqlfmnst	wqlfcmnst
u	x	rjpbmxs	rjpbmxus
i	v	vszhlwgpqrmn	viszhlwgpqrmn
i	t	tpgsrm	tipgsrm
w	n	ktn	ktnw
d	c	bvxnwhrc	bvxnwhrcd
k	w	kdwh	kdwkh
j	k	ltnkm	ltnkjm
o	d	pbqkrdfm	pbqkrdofm
l	l	lbzn	llbzn
d	k	ptk	ptkd
k	g	ljnzhgd	ljnzhgkd
n	g	gjxp	gnjxp
r	w	wrblnjh	wrrblnjh
m	m	kzpqmgr	kzpqmmgr
l	h	khmvn	khlmvn
l	r	scrwn	scrlwn
g	c	hrcjl	hrcgjl
o	b	tfgrmvb	tfgrmvbo
n	h	jhmbx	jhnmbx
s	q	vcrngq	vcrngqs
z	b	jhzdtkcxpbsl	jhzdtkcxpbzsl
j	f	xfw	xfjw
z	x	hspkx	hspkxz
c	x	xjsz	xcjsz
k	w	wmkr	wkmkr
r	m	gdfrmlx	gdfrmrlx
f	p	dshp	dshpf
k	k	mskfcjv	mskkfcjv
e	s	sjbq	sejbq
p	m	czmh	czmph
a	c	zcrjn	zcarjn
v	t	thkz	tvhkz
x	w	wqfhp	wxqfhp
k	p	vmztlp	vmztlpk
l	t	lxsqtwk	lxsqtlwk
p	t	drksqt	drksqtp
c	f	fjz	fcjz
m	t	bptqhvxsnl	bptmqhvxsnl
e	v	vhsm	vehsm
a	k	wzlk	wzlka
d	w	pdkw	pdkwd
s	d	ljkzd	ljkzds
e	z	jzdtsgq	jzedtsgq
r	m	mslf	mrslf
l	g	nhfgtsdv	nhfgltsdv
i	r	zqrpck	zqripck
i	d	dmzwkgb	dimzwkgb
v	l	bjln	bjlvn
t	r	rzqhlfgb	rtzqhlfgb
y	v	svqk	svyqk
r	g	gqpv	grqpv
w	h	gtwblhf	gtwblhwf
f	n	xmqnbt	xmqnfbt
g	l	ldbs	lgdbs
o	n	gmln	gmlno
m	m	kfm	kfmm
k	q	dvnfrcqs	dvnfrcqks
l	p	pbgwkn	plbgwkn
g	v	cvthzkbx	cvgthzkbx
q	b	bnsckw	bqnsckw
w	v	vzkcr	vwzkcr
k	z	zthdrgkls	zkthdrgkls
n	s	fkdsrx	fkdsnrx
k	g	htpqgxs	htpqgkxs
z	k	kdpwfg	kzdpwfg
u	q	rjnhq	rjnhqu
g	d	ctxjdbhk	ctxjdgbhk
o	p	vpzl	vpozl
p	k	wltckd	wltckpd
n	g	mdng	mdngn
h	d	dnzl	dhnzl
n	l	bpgkdl	bpgkdln
n	r	lszqkcrtxw	lszqkcrntxw
t	r	zrnxk	zrtnxk
z	b	pxbtgdm	pxbztgdm
a	m	sbmcd	sbmacd
f	j	ljxrk	ljfxrk
u	f	cbf	cbfu
