input1	input2	input3	label
l	c	lndk	cndk
m	u	mfcd	ufcd
f	x	fxc	xxc
v	r	vdjmwrz	rdjmwrz
g	s	psnxgrm	psnxsrm
p	p	xpvm	xpvm
d	t	dkxs	tkxs
c	a	gcjbm	gajbm
b	o	rdb	rdo
n	m	bwnj	bwmj
d	f	zqbfrpwkhd	zqbfrpwkhf
z	p	dvrz	dvrp
q	j	nrkbq	nrkbj
d	p	gxwdf	gxwpf
k	i	lkshgv	lishgv
f	u	srfdw	srudw
f	v	fpht	vpht
n	t	nzmw	tzmw
f	m	jfqzsvpbgtlhn	jmqzsvpbgtlhn
t	b	tdfwcx	bdfwcx
v	r	vzns	rzns
x	a	dpxg	dpag
f	j	hmdlf	hmdlj
j	w	rpgxjk	rpgxwk
l	f	lwckbgmt	fwckbgmt
r	l	krqt	klqt
z	f	bwhnpcfsgmz	bwhnpcfsgmf
m	p	dmcbgt	dpcbgt
z	a	gzf	gaf
v	f	xnbvpr	xnbfpr
c	c	cslpvhq	cslpvhq
b	z	bkjv	zkjv
q	k	tqcrj	tkcrj
h	w	fwzbsh	fwzbsw
w	m	hplzwq	hplzmq
m	n	fbm	fbn
g	b	zjsg	zjsb
d	x	dpflg	xpflg
z	k	zsmp	ksmp
b	p	qnlxdjb	qnlxdjp
w	j	fgwbz	fgjbz
t	g	fhtxr	fhgxr
x	r	lxtzf	lrtzf
z	c	zkmrwqf	ckmrwqf
m	d	wmtjgf	wdtjgf
g	e	gxrtzjfnl	exrtzjfnl
r	g	mvjtrsld	mvjtgsld
m	k	nxm	nxk
k	a	dpkqbh	dpaqbh
t	a	jdft	jdfa
g	w	gdprmn	wdprmn
c	j	cxbzhfmp	jxbzhfmp
r	j	skbxjrh	skbxjjh
f	e	whjbrpvfg	whjbrpveg
p	p	ksqnpr	ksqnpr
j	k	fpdjlv	fpdklv
n	l	nfwp	lfwp
q	s	kdsq	kdss
p	o	gthxp	gthxo
n	r	rng	rrg
d	o	rvdpljnb	rvopljnb
q	r	vmhdrqlj	vmhdrrlj
k	p	jsgfpkh	jsgfpph
b	f	frgptbz	frgptfz
q	t	xmqgt	xmtgt
v	g	pbzdvj	pbzdgj
c	g	cnfk	gnfk
z	i	zsqbt	isqbt
v	o	vfml	ofml
s	y	wmts	wmty
w	x	mlvw	mlvx
q	n	fqnxg	fnnxg
z	n	pbfzq	pbfnq
n	r	mjrndvc	mjrrdvc
t	l	htqszk	hlqszk
t	b	ltxcwks	lbxcwks
f	x	hfxmb	hxxmb
c	g	wfcsg	wfgsg
m	b	msrpb	bsrpb
b	y	jkzb	jkzy
g	i	rgcm	ricm
l	j	tgls	tgjs
w	r	dqbw	dqbr
g	o	tdng	tdno
l	f	vfszl	vfszf
t	q	bmqgtphzdw	bmqgqphzdw
t	o	mtqwr	moqwr
x	z	xpqs	zpqs
q	u	dqjswmv	dujswmv
v	m	vrnk	mrnk
p	d	prtbc	drtbc
r	o	zgfrjhp	zgfojhp
d	d	kzfdvwb	kzfdvwb
l	f	lqw	fqw
r	i	nflwr	nflwi
x	k	srhgjx	srhgjk
w	s	fzbkw	fzbks
g	x	qhgsmkd	qhxsmkd
g	y	gzncplbt	yzncplbt
l	m	qlns	qmns
h	i	pvzlhg	pvzlig
l	h	lstdkxgh	hstdkxgh
f	e	sfgvh	segvh
h	m	shfg	smfg
f	a	fstlvdz	astlvdz
w	m	sbwmf	sbmmf
l	g	qlhmj	qghmj
v	i	vrdl	irdl
j	j	fmjtnlh	fmjtnlh
l	i	fthl	fthi
d	x	tpkldcqj	tpklxcqj
k	r	bkwcdzx	brwcdzx
z	o	spvxz	spvxo
q	z	pgqck	pgzck
c	y	cptbk	yptbk
m	o	vmb	vob
x	a	pbcfxhgmj	pbcfahgmj
x	q	djgtknxs	djgtknqs
m	e	gmf	gef
t	n	dcbtqwx	dcbnqwx
q	s	qtj	stj
b	o	jndgbt	jndgot
v	i	ztdvj	ztdij
p	y	lbpjn	lbyjn
w	d	jvbzwtmkq	jvbzdtmkq
q	f	slgtkqn	slgtkfn
g	w	qxgdz	qxwdz
f	t	rjf	rjt
l	x	blcrf	bxcrf
c	r	tcd	trd
j	b	nzbgljd	nzbglbd
l	j	mjxvl	mjxvj
q	d	ncpxtkq	ncpxtkd
l	v	mvqtbjdl	mvqtbjdv
r	y	lcrs	lcys
f	t	jfm	jtm
f	d	jkgvqfzc	jkgvqdzc
x	k	sxpfc	skpfc
p	s	zmbcpdkwj	zmbcsdkwj
z	j	fnzkt	fnjkt
s	v	pcbs	pcbv
m	b	pvmtskzgx	pvbtskzgx
n	i	wvfnd	wvfid
d	s	wkxgdlhb	wkxgslhb
d	p	tlbdfs	tlbpfs
q	n	bgzpq	bgzpn
n	o	vxwn	vxwo
m	w	shmcx	shwcx
p	c	nprlzd	ncrlzd
q	u	gsqb	gsub
t	f	wzqtkbhlvp	wzqfkbhlvp
n	o	sqncrmdz	sqocrmdz
m	a	mjsrwn	ajsrwn
j	w	cmj	cmw
w	n	wnpkdg	nnpkdg
k	e	xkphqzsg	xephqzsg
v	w	kbtzqxhv	kbtzqxhw
n	p	hvbmxpn	hvbmxpp
d	x	wkdnh	wkxnh
w	h	tgwxf	tghxf
d	d	zvwdl	zvwdl
x	u	bsrtxqz	bsrtuqz
b	r	fpvkhxb	fpvkhxr
t	s	jpstbxwq	jpssbxwq
l	n	wfbl	wfbn
s	i	rtscvk	rticvk
n	y	grnw	gryw
v	n	rvb	rnb
v	z	vngr	zngr
t	u	thpj	uhpj
b	f	xbrf	xfrf
t	q	cfntl	cfnql
n	z	knpmz	kzpmz
d	m	fjwbsdcglx	fjwbsmcglx
c	f	zvcxt	zvfxt
l	a	jvmghplkrds	jvmghpakrds
w	p	twg	tpg
s	w	fdlhjkvgs	fdlhjkvgw
n	m	mfznhdb	mfzmhdb
b	e	vcb	vce
m	w	trmgl	trwgl
q	c	bhjtxfsq	bhjtxfsc
c	u	kpcqw	kpuqw
s	t	mrswp	mrtwp
p	s	prhvf	srhvf
z	p	skbqpfz	skbqpfp
w	e	nwscf	nescf
h	i	rmlgbhd	rmlgbid
m	w	xbmgkct	xbwgkct
t	z	mcxdgrt	mcxdgrz
v	m	lmdwkvf	lmdwkmf
c	t	qtwfjc	qtwfjt
q	r	mbgqt	mbgrt
q	c	hqbw	hcbw
k	x	stnkp	stnxp
g	h	pgq	phq
k	n	lpdgk	lpdgn
l	j	zvxcbjpl	zvxcbjpj
g	x	gnhbfjtw	xnhbfjtw
k	k	ngmzchk	ngmzchk
h	t	lhwncm	ltwncm
k	g	xtkphnf	xtgphnf
g	w	tgqdpsb	twqdpsb
n	e	gdkns	gdkes
x	d	jdlnkxr	jdlnkdr
n	f	fnlb	fflb
g	f	vgf	vff
m	x	gkmn	gkxn
t	c	zqkt	zqkc
r	i	slfdjwr	slfdjwi
s	u	xfsd	xfud
q	h	vzklqr	vzklhr
p	b	vnptqz	vnbtqz
s	p	xsrdwvjfc	xprdwvjfc
l	f	lsrxm	fsrxm
p	n	hzlcp	hzlcn
m	b	mrjd	brjd
t	i	bzgtmc	bzgimc
f	i	fhvcw	ihvcw
d	l	zsjvdh	zsjvlh
g	m	dvg	dvm
r	e	nrmqjv	nemqjv
l	v	rsvkljq	rsvkvjq
w	h	wtcs	htcs
p	j	pxcn	jxcn
n	n	njkwh	njkwh
x	r	bdfxqjpr	bdfrqjpr
j	v	mnj	mnv
k	k	blsvkn	blsvkn
k	z	ktpzd	ztpzd
q	x	qzvp	xzvp
c	r	hkfgctj	hkfgrtj
v	g	zvg	zgg
l	r	wlhgmqxkdc	wrhgmqxkdc
s	c	zpslgfbn	zpclgfbn
p	g	mwvp	mwvg
g	s	zpbgt	zpbst
t	t	xtdv	xtdv
d	e	jdmvwzs	jemvwzs
w	y	slwm	slym
h	k	chnf	cknf
s	d	fqztgs	fqztgd
n	e	bwn	bwe
c	y	kwjdfzprcs	kwjdfzprys
z	d	nzgxhl	ndgxhl
x	q	zbcjnlx	zbcjnlq
t	e	fqtjrp	fqejrp
q	h	vqf	vhf
v	k	nctzmv	nctzmk
g	y	qtgc	qtyc
w	u	mfwlprjz	mfulprjz
j	f	xcjz	xcfz
v	s	pgvj	pgsj
w	z	mwhfd	mzhfd
z	g	kqlsmzb	kqlsmgb
l	f	vplhg	vpfhg
s	a	gqtdnlsx	gqtdnlax
t	g	chtbfmp	chgbfmp
g	e	khgt	khet
s	q	sgzbwmq	qgzbwmq
r	m	gjnbrtpm	gjnbmtpm
k	i	zksqtv	zisqtv
w	c	xpkjwsh	xpkjcsh
r	b	nfrvqd	nfbvqd
r	g	trlvpq	tglvpq
m	q	mgzrk	qgzrk
b	n	qwjzbp	qwjznp
x	c	gjxsd	gjcsd
v	z	fphvcmxn	fphzcmxn
t	d	vtc	vdc
g	b	pwbtgsrj	pwbtbsrj
j	l	chqj	chql
w	g	vwhks	vghks
z	h	pfjxhwlz	pfjxhwlh
r	p	tcr	tcp
q	f	qfwcljvg	ffwcljvg
w	w	glwrpq	glwrpq
p	v	qpb	qvb
r	r	mcdbgnxqrvj	mcdbgnxqrvj
n	a	sbzn	sbza
g	p	knjgq	knjpq
q	x	flvmqc	flvmxc
m	y	hrmwq	hrywq
q	t	pkdnjbqlr	pkdnjbtlr
j	q	wnrjfp	wnrqfp
d	v	qdc	qvc
w	x	qthkmwngs	qthkmxngs
j	r	qrjz	qrrz
j	p	wrjpf	wrppf
k	c	qhkfc	qhcfc
j	u	vjtsrcd	vutsrcd
h	a	zbvh	zbva
s	r	ljwsnf	ljwrnf
j	a	vjdp	vadp
v	p	mhv	mhp
t	j	jtrcfs	jjrcfs
j	a	xlbjt	xlbat
k	o	czmkltdxswb	czmoltdxswb
c	p	wckb	wpkb
p	d	dpchb	ddchb
j	o	hkxzscdj	hkxzscdo
h	y	hlf	ylf
l	o	bhlgfdmc	bhogfdmc
b	b	lnshb	lnshb
x	d	sxbj	sdbj
d	w	kvdzfph	kvwzfph
l	x	rlkqmh	rxkqmh
p	r	rptbn	rrtbn
j	s	fjhxr	fshxr
m	v	qmlht	qvlht
w	l	xzwdjmpf	xzldjmpf
v	k	vjhcfz	kjhcfz
x	v	xmksp	vmksp
x	r	xpmngbh	rpmngbh
s	k	kzgpnfxbs	kzgpnfxbk
q	s	cqlbkx	cslbkx
r	z	jtrqgbn	jtzqgbn
b	i	btgkxsw	itgkxsw
j	b	fstdmjgq	fstdmbgq
g	z	gfs	zfs
t	g	stmpzl	sgmpzl
g	z	cgrql	czrql
z	t	gwzmxk	gwtmxk
d	u	dcqt	ucqt
d	e	gwd	gwe
q	m	qvsf	mvsf
w	l	wfnsx	lfnsx
v	r	vfxbwzj	rfxbwzj
t	i	xwkdbpftg	xwkdbpfig
t	s	wstqr	wssqr
h	t	zmkbhts	zmkbtts
w	u	wpz	upz
w	x	rdmfvhwq	rdmfvhxq
d	q	jnmdsr	jnmqsr
l	z	bsrlv	bsrzv
p	m	mpclb	mmclb
r	z	rgbfjn	zgbfjn
k	b	cwkr	cwbr
k	o	hrqgwk	hrqgwo
b	s	tbdz	tsdz
w	c	qwd	qcd
p	f	hftpljd	hftfljd
c	z	cbw	zbw
p	y	bxpm	bxym
z	a	wpzlfm	wpalfm
t	e	ltjmrfhnpbz	lejmrfhnpbz
k	j	bkvqrf	bjvqrf
f	c	ldjgmf	ldjgmc
t	f	dtvxs	dfvxs
k	k	fnqhgwkb	fnqhgwkb
x	k	cxplt	ckplt
j	b	txgj	txgb
s	d	zwkhsjn	zwkhdjn
h	r	xdqntgzjhr	xdqntgzjrr
f	h	lfzck	lhzck
c	u	lbmfgc	lbmfgu
c	k	bcw	bkw
j	u	jdsh	udsh
v	n	dvrjg	dnrjg
j	r	vlgqjsr	vlgqrsr
f	v	drwsqxczf	drwsqxczv
c	y	pchrt	pyhrt
k	n	lvk	lvn
q	z	wqxf	wzxf
j	x	fjlgt	fxlgt
q	b	gqfzhx	gbfzhx
f	f	hfr	hfr
m	e	wdrfmjkbsx	wdrfejkbsx
j	f	sjkd	sfkd
j	i	hjxgskv	hixgskv
j	a	kgjbq	kgabq
r	w	qdgcvhwrzl	qdgcvhwwzl
p	r	ltwhpzdj	ltwhrzdj
h	q	tnqhjk	tnqqjk
n	i	jtzfbrhnm	jtzfbrhim
g	z	lgtp	lztp
g	g	gpkz	gpkz
d	i	xdhckzpf	xihckzpf
b	z	sftmbqc	sftmzqc
v	h	mvpjn	mhpjn
g	v	zgdw	zvdw
t	u	dtblm	dublm
j	u	thj	thu
f	o	dfm	dom
c	o	pcjh	pojh
l	j	grlcz	grjcz
r	r	kwtnrh	kwtnrh
b	q	lqmvbk	lqmvqk
g	g	txkqg	txkqg
z	o	cszqt	csoqt
t	d	gdtcvfhb	gddcvfhb
b	g	qgbmcs	qggmcs
w	n	wmdrj	nmdrj
n	h	nqkfplzr	hqkfplzr
k	j	dbqmkv	dbqmjv
h	r	hvfxsr	rvfxsr
r	g	nwjpr	nwjpg
z	c	zdjkf	cdjkf
h	u	hpfzj	upfzj
d	v	ghd	ghv
j	p	glj	glp
g	r	dgbph	drbph
k	d	rkbt	rdbt
d	k	bdgsrm	bkgsrm
c	u	clmp	ulmp
j	f	dwszj	dwszf
l	p	hjbvl	hjbvp
d	v	mfdcs	mfvcs
l	g	rwcqsln	rwcqsgn
c	h	wrfpkblc	wrfpkblh
k	d	kzvmcrs	dzvmcrs
q	u	mqr	mur
m	e	mzxjw	ezxjw
l	e	xlkpmh	xekpmh
r	y	lcthkmr	lcthkmy
n	p	pdhvn	pdhvp
f	q	bskdwmfr	bskdwmqr
g	l	zgsxp	zlsxp
b	y	fpbvnhtgzkjl	fpyvnhtgzkjl
x	g	pxk	pgk
q	x	frvqp	frvxp
f	t	fhrmp	thrmp
z	u	btcz	btcu
b	f	mvxbl	mvxfl
d	x	cdjrmq	cxjrmq
d	u	qhdnz	qhunz
z	m	rzbwxcfnl	rmbwxcfnl
b	m	rfvb	rfvm
j	j	gnj	gnj
t	f	sxtvc	sxfvc
m	p	lvkqgjnm	lvkqgjnp
z	p	qgtrbz	qgtrbp
d	m	gxtcjdhmnp	gxtcjmhmnp
s	c	zwcdqsb	zwcdqcb
x	c	shx	shc
d	i	qshcdm	qshcim
c	y	cfqwrlmp	yfqwrlmp
h	z	qwcth	qwctz
s	r	qtbs	qtbr
l	v	qhzrl	qhzrv
v	w	nzvklfqrcg	nzwklfqrcg
s	g	gjst	gjgt
d	s	jfldh	jflsh
m	k	hxbkjmt	hxbkjkt
m	l	qfvhmc	qfvhlc
s	f	hnpxfsc	hnpxffc
t	g	vmrqtwh	vmrqgwh
v	m	sltvb	sltmb
x	w	mrdzptkxw	mrdzptkww
h	e	qnmltgrhx	qnmltgrex
v	w	fwtdvh	fwtdwh
g	t	kjgx	kjtx
p	w	jwdzmprs	jwdzmwrs
m	o	smzfcp	sozfcp
z	o	znh	onh
d	g	pnqdmckx	pnqgmckx
c	m	nhc	nhm
k	l	svkzbrd	svlzbrd
j	c	hpkj	hpkc
j	r	crjp	crrp
p	t	rzxksfp	rzxksft
w	v	vlw	vlv
j	i	sndlxqkmj	sndlxqkmi
x	d	gqxkbvd	gqdkbvd
p	v	ptdzckh	vtdzckh
m	d	mtx	dtx
w	w	zvfwhsx	zvfwhsx
t	v	wtmjzxh	wvmjzxh
p	n	kbdpqz	kbdnqz
q	z	zqncpjlbg	zzncpjlbg
p	f	qtplvg	qtflvg
f	j	wcf	wcj
l	k	lhdpzxrs	khdpzxrs
w	c	fjws	fjcs
j	s	rnjzw	rnszw
n	a	krnxw	kraxw
f	r	sxfd	sxrd
t	w	lxnth	lxnwh
d	p	mdks	mpks
v	d	mrshwvp	mrshwdp
q	l	vsmq	vsml
x	d	fjmxdplz	fjmddplz
j	y	crjqf	cryqf
w	m	wqgxpncmd	mqgxpncmd
k	i	kdlzwrqpsn	idlzwrqpsn
f	n	tpfdxwq	tpndxwq
n	z	qnvp	qzvp
l	d	gvlnbk	gvdnbk
l	j	rxshdlgqcpjzk	rxshdjgqcpjzk
r	g	zrpxmhktb	zgpxmhktb
g	a	rbfpsg	rbfpsa
v	w	pvmst	pwmst
z	b	zsmkbqr	bsmkbqr
c	f	gctrmb	gftrmb
d	l	dzn	lzn
s	d	qrswjg	qrdwjg
b	u	fbsqdkg	fusqdkg
k	u	djks	djus
s	h	wsg	whg
b	m	crjbv	crjmv
h	u	sgpjbth	sgpjbtu
h	h	xfhc	xfhc
h	o	mvflthcb	mvfltocb
m	b	hrzdqwmvk	hrzdqwbvk
p	d	vgwp	vgwd
s	p	lstvhmb	lptvhmb
p	j	gwcspbm	gwcsjbm
d	e	vpmfgblsdhw	vpmfgblsehw
f	t	fzls	tzls
p	v	mgpfbr	mgvfbr
l	u	hlwfvtbz	huwfvtbz
r	e	rljxb	eljxb
h	v	hbq	vbq
r	e	rgchzkm	egchzkm
m	g	zmrxq	zgrxq
h	a	zhmrxgn	zamrxgn
z	q	bwdtz	bwdtq
d	s	nxpdbh	nxpsbh
b	t	zvqbt	zvqtt
z	o	zwnsgpjk	ownsgpjk
d	q	psdtfwz	psqtfwz
c	w	mncz	mnwz
k	x	gxk	gxx
b	w	scbqnt	scwqnt
w	i	qgw	qgi
p	h	rcfbztqpwg	rcfbztqhwg
l	i	tqsdwl	tqsdwi
c	h	zcxqw	zhxqw
x	q	xqdn	qqdn
h	u	qvh	qvu
q	s	kqf	ksf
d	b	dvgznps	bvgznps
n	e	jlnvbzq	jlevbzq
q	e	qdrhmvj	edrhmvj
k	b	lwmcjdkhq	lwmcjdbhq
r	g	sbwfr	sbwfg
h	c	nlqvsdbh	nlqvsdbc
f	v	hjcfv	hjcvv
b	z	dpsxb	dpsxz
x	x	znpx	znpx
h	o	mhjdpnw	mojdpnw
r	l	bwxdnpr	bwxdnpl
q	l	qpt	lpt
n	i	xcbwqmkjntl	xcbwqmkjitl
c	x	mwfc	mwfx
f	n	kvgf	kvgn
k	t	kvzqgc	tvzqgc
v	z	bwcxfksv	bwcxfksz
f	h	xhfljzsn	xhhljzsn
v	y	nvkh	nykh
j	o	dhvtbgjf	dhvtbgof
t	i	dcqhtnx	dcqhinx
r	e	nrd	ned
j	a	jvwt	avwt
q	q	kzljqmd	kzljqmd
w	o	twzp	tozp
b	o	cprxbmnjs	cprxomnjs
t	j	wlpkxt	wlpkxj
w	v	vrdbgw	vrdbgv
k	g	vkw	vgw
t	c	cvgptz	cvgpcz
r	r	tpfjrz	tpfjrz
b	w	ptfskb	ptfskw
p	h	jtvwfp	jtvwfh
r	z	lrcqtwmds	lzcqtwmds
v	b	fdwvxrzglh	fdwbxrzglh
f	r	qjplsgcknwf	qjplsgcknwr
q	b	chnxtqp	chnxtbp
r	l	jhwtdrkx	jhwtdlkx
m	y	nqzgrlcm	nqzgrlcy
s	f	smwtp	fmwtp
j	z	bqmjk	bqmzk
g	z	jgf	jzf
x	c	bnxsm	bncsm
c	t	gkjdcwtfb	gkjdtwtfb
b	y	vjtbgw	vjtygw
m	x	chnmw	chnxw
h	g	shf	sgf
h	v	chmj	cvmj
p	i	xbzprdmlc	xbzirdmlc
t	w	ftsgk	fwsgk
z	e	xfzwd	xfewd
x	e	vzxlm	vzelm
q	o	rmjvxlqc	rmjvxloc
x	v	pghnxtq	pghnvtq
z	t	fqskjrzhmpxl	fqskjrthmpxl
z	t	chzqpx	chtqpx
l	e	bcl	bce
l	d	nftlrkpw	nftdrkpw
d	b	bdrk	bbrk
j	r	jclbx	rclbx
p	s	hnmbpdvx	hnmbsdvx
n	j	jnsl	jjsl
b	d	hcb	hcd
d	b	jglskzd	jglskzb
h	l	zgth	zgtl
r	p	rpnjlgk	ppnjlgk
b	x	bshmxzp	xshmxzp
l	j	bkxfl	bkxfj
l	j	qwprl	qwprj
p	m	kpwgj	kmwgj
p	s	cvzpxfn	cvzsxfn
x	l	gkxnt	gklnt
z	q	fwplzm	fwplqm
s	f	gksdcbwthnqj	gkfdcbwthnqj
t	r	tvr	rvr
t	f	kqhbt	kqhbf
q	o	tgqs	tgos
r	b	rxbp	bxbp
j	p	zdvpxjt	zdvpxpt
d	c	dqkh	cqkh
f	b	xqbvwgf	xqbvwgb
n	a	qgnm	qgam
w	h	wsxk	hsxk
p	w	swpgl	swwgl
s	y	ckbs	ckby
r	n	rmvkh	nmvkh
j	b	fxscjh	fxscbh
b	j	jtqmcrb	jtqmcrj
c	h	dpbqmc	dpbqmh
g	o	vgs	vos
f	x	nhcmkftqlj	nhcmkxtqlj
x	a	fkqx	fkqa
r	w	rsjb	wsjb
b	d	hdbr	hddr
b	q	jgbsd	jgqsd
m	a	gsdcqzm	gsdcqza
j	p	xqjv	xqpv
l	j	lkvzcqdf	jkvzcqdf
h	t	smphwb	smptwb
x	t	dxsrbzn	dtsrbzn
l	y	ngjl	ngjy
j	i	psmkjvzn	psmkivzn
b	g	qfmb	qfmg
h	p	zmhf	zmpf
j	e	zcrnjkv	zcrnekv
m	c	txmlnc	txclnc
q	m	jdnq	jdnm
x	s	zxjl	zsjl
b	x	bvx	xvx
f	b	dflvpwmq	dblvpwmq
h	j	hnzrbl	jnzrbl
n	m	wfcksbnt	wfcksbmt
w	u	nlqwbr	nlqubr
w	e	fsbwp	fsbep
z	b	sckdpzbjq	sckdpbbjq
v	l	vbdqpt	lbdqpt
m	b	kchmztq	kchbztq
v	f	bdhrvz	bdhrfz
m	v	pglkm	pglkv
n	m	wctgdnkb	wctgdmkb
j	s	fhsj	fhss
d	h	rjcwbd	rjcwbh
l	l	xdlz	xdlz
s	k	dlsj	dlkj
z	l	nhzbdj	nhlbdj
b	l	jqsmbwpctr	jqsmlwpctr
b	i	spltb	splti
t	f	htnczdx	hfnczdx
d	w	qnxwd	qnxww
p	c	jgtpb	jgtcb
n	v	wnv	wvv
f	n	vclmtfgrqh	vclmtngrqh
k	r	gkfctbhjql	grfctbhjql
h	p	hkqmc	pkqmc
v	o	skjhtv	skjhto
n	j	vnst	vjst
q	j	dfsqg	dfsjg
s	u	mzftsngwkdl	mzftungwkdl
g	z	gkwxvdnr	zkwxvdnr
t	m	nsqtlp	nsqmlp
b	q	nbpzthwlq	nqpzthwlq
m	t	dbnhcvjkms	dbnhcvjkts
x	p	zhtlsxbn	zhtlspbn
s	d	sjgwxl	djgwxl
l	f	lhtgrzxdq	fhtgrzxdq
t	a	jxqtsfrc	jxqasfrc
q	b	qbltk	bbltk
h	s	zjhpdw	zjspdw
h	j	nhq	njq
z	t	xzrh	xtrh
w	p	dlvfmzbsw	dlvfmzbsp
d	s	dzjcnthsbrlf	szjcnthsbrlf
c	x	rlxc	rlxx
s	h	prqzcdsxjf	prqzcdhxjf
n	q	tprfn	tprfq
v	x	dtvj	dtxj
n	k	qctmnws	qctmkws
j	f	kprwjh	kprwfh
k	z	hmvdwfk	hmvdwfz
l	j	lrdcvks	jrdcvks
l	v	lfxrp	vfxrp
g	p	xbmgcjtndq	xbmpcjtndq
d	k	jfblcgsd	jfblcgsk
l	t	lbdp	tbdp
j	e	qzlj	qzle
t	i	tpwvxj	ipwvxj
t	i	twxfslq	iwxfslq
x	i	dpqxk	dpqik
q	r	mqnfwdzt	mrnfwdzt
j	n	jmvkr	nmvkr
r	n	dzrk	dznk
l	e	bhcgqdlj	bhcgqdej
g	c	wxqglj	wxqclj
v	d	gkqcvnz	gkqcdnz
